Quantitation Report - 2,,,,,,,,,,,,,
,,,,,,,,,,,,,
MS Integ Params:,,Known_IPLs_Marine_11_14_2018,,,,Quant Time:,11/16/2018 2:27:23 PM,,,,,,
Quant Method:,,Known_IPLs_Marine_11_14_2018_Known_IPLs_Marine_11_14_2018,,,,Data File:,QEF1638_OG44_T5-35-2-7_SC,,,,,,
Title:,,Assay name,,,,Acq On:,8/1/2018 7:10:11 AM,,,,,,
Last Update:,,11/16/2018 2:22:51 PM,,,,Sample:,,,,,,,
Data Acq Method:,,IPL_BEHamide_FullMS,,,,Comment:,,,,,,,
Operator:,,Thermo,,,,Vial:,RD7,,,,,,
Instrument:,,QEFocus,,,,Multiplr:,1.000,,,,,,
Response Via:,,Known_IPLs_Marine_11_14_2018.calx,,,,Quant Results File:,C:\TraceFinderData\4.0\Projects\IPLs\Known_IPLs_Marine_11_14_2018\Data\QEF1638_OG44_T5-35-2-7_SC.rsx,,,,,, 
,,,,,,,,,,,,,
Internal Standards,,,,,,,,,,,,,
,,,,,,,,,,,,,
#,Compound Name,,RT,Quan Peak,Response,Conc,Units,Dev (min),,,Flags,Manual Flag,
,,,,,,,,,,,,,
No data,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Surrogates,,,,,,,,,,,,,
,,,,,,,,,,,,,
#,Compound Name,,RT,Quan Peak,Response,Conc,Units,Dev (min),Spike Amt,Recovery,Flags,Manual Flag,
,,,,,,,,,,,,,
No data,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Target Compounds,,,,,,,,,,,,,
,,,,,,,,,,,,,
#,Compound Name,,RT,Quan Peak,Response,Conc,Units,Dev (min),,,Flags,Manual Flag,
1,ARCHAEOL,,N/F,653.68062,N/F,N/F,ng,N/F,,,,FALSE,
1,,,N/F,670.70717,N/F,,,N/F,,,,FALSE,
1,,,N/F,675.66257,N/F,,,N/F,,,,FALSE,
2,MGDG-36:5,,N/F,777.55112,N/F,N/A,,N/F,,,,FALSE,
2,,,2.65,794.57767,,,,0.02,,,,FALSE,
2,,,N/F,799.53307,N/F,,,N/F,,,,FALSE,
3,MGDG-19:2,,2.46,549.36332,16671,N/A,,-0.37,,,,FALSE,
3,,,3.28,566.38987,,,,0.45,,,,FALSE,
3,,,3.05,571.34527,,,,0.22,,,,FALSE,
3,,,2.66,549.36332,,,,-0.38,,,,FALSE,
3,,,3.28,566.38987,,,,0.24,,,,FALSE,
3,,,3.05,571.34527,,,,0.01,,,,FALSE,
4,HPH-GDGT-1,,N/F,1703.37117,N/F,N/F,,N/F,,,,FALSE,
4,,,N/F,1720.39772,N/F,,,N/F,,,,FALSE,
4,,,N/F,1725.35312,N/F,,,N/F,,,,FALSE,
5,Gly-PDGT-0,,N/F,1491.39897,N/F,N/F,,N/F,,,,FALSE,
5,,,N/F,1508.42552,N/F,,,N/F,,,,FALSE,
5,,,N/F,1513.38091,N/F,,,N/F,,,,FALSE,
6,MGDG,,3.21,775.53547,6878116,N/A,,-0.04,,,,FALSE,
6,,,3.16,792.56202,,,,-0.09,,,,FALSE,
6,,,3.16,797.51742,,,,-0.09,,,,FALSE,
7,MGDG-34:1,,3.21,772.59332,2410943,N/A,,-0.08,,,,FALSE,
7,,,N/F,755.56677,N/F,,,N/F,,,,FALSE,
7,,,3.18,777.54872,,,,-0.11,,,,FALSE,
8,Gly-GDGT-4,,N/F,1455.30507,N/F,N/F,,N/F,,,,FALSE,
8,,,N/F,1472.33162,N/F,,,N/F,,,,FALSE,
8,,,N/F,1477.28701,N/F,,,N/F,,,,FALSE,
9,MGDG-36:8,,3.24,771.50417,26097736,N/A,,-0.11,,,,FALSE,
9,,,3.24,788.53072,,,,-0.11,,,,FALSE,
9,,,3.23,793.48612,,,,-0.12,,,,FALSE,
10,Gly-GDGT-0,,N/F,1463.36767,N/F,N/F,,N/F,,,,FALSE,
10,,,N/F,1480.39422,N/F,,,N/F,,,,FALSE,
10,,,N/F,1485.34961,N/F,,,N/F,,,,FALSE,
11,MGDG-36:9,,3.29,769.48852,124547445,N/A,,-0.09,,,,FALSE,
11,,,3.28,786.51507,,,,-0.10,,,,FALSE,
11,,,3.28,791.47047,,,,-0.10,,,,FALSE,
12,MGDG-30:1,,3.37,718.54637,315430968,N/A,,-0.03,,,,FALSE,
12,,,3.38,723.50177,,,,-0.02,,,,FALSE,
12,,,3.37,701.51982,,,,-0.03,,,,FALSE,
13,MGDG-36:10,,3.34,784.49942,38855649,N/A,,-0.06,,,,FALSE,
13,,,3.28,767.47287,,,,-0.12,,,,FALSE,
13,,,3.34,789.45482,,,,-0.06,,,,FALSE,
14,Gly-GDGT-2,,N/F,1459.33637,N/F,N/F,,N/F,,,,FALSE,
14,,,N/F,1476.36292,N/F,,,N/F,,,,FALSE,
14,,,N/F,1481.31831,N/F,,,N/F,,,,FALSE,
15,Gly-GDGT-1,,N/F,1461.35202,N/F,N/F,,N/F,,,,FALSE,
15,,,N/F,1478.37857,N/F,,,N/F,,,,FALSE,
15,,,N/F,1483.33396,N/F,,,N/F,,,,FALSE,
16,MGDG-28:0,,3.50,692.53072,21724588,N/A,,0.03,,,,FALSE,
16,,,3.48,697.48612,,,,0.01,,,,FALSE,
16,,,3.49,675.50417,,,,0.02,,,,FALSE,
17,Gly-OH-GDGT-1,,N/F,1477.34693,N/F,N/F,,N/F,,,,FALSE,
17,,,N/F,1494.37348,N/F,,,N/F,,,,FALSE,
17,,,N/F,1499.32888,N/F,,,N/F,,,,FALSE,
18,MGDG-34:5,,3.31,747.50417,12433556,N/A,,-0.21,,,,FALSE,
18,,,3.28,764.53072,,,,-0.24,,,,FALSE,
18,,,3.29,769.48612,,,,-0.23,,,,FALSE,
19,MGDG-36:4,,3.56,779.56677,904390,N/A,,0.04,,,,FALSE,
19,,,3.15,796.59332,,,,-0.37,,,,FALSE,
19,,,3.13,801.54872,,,,-0.39,,,,FALSE,
20,MGDG-32:1,,3.27,749.51742,17278460,N/A,,-0.26,,,,FALSE,
20,,,3.28,727.53547,,,,-0.25,,,,FALSE,
