Quantitation Report,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Lab Name:,OGL,,,,,,,,,,,,,,,,
Instrument:,QEFocus,,,,,,,,Method:,Known_IPLs_Marine_11_14_2018_Known_IPLs_Marine_11_14_2018,,,,,,,
User:,Thermo,,,,,,,,,Known_IPLs_Marine_11_14_2018,,,,,,,
Batch:,Known_IPLs_Marine_11_14_2018,,,,,,,,Cali File:,Known_IPLs_Marine_11_14_2018.calx,,,,,,,
,,,,,,,,,,,,,,,,,
Vial Pos,,Sample ID,,File Name,,Level,,Sample Name,,File Date,,Comment,,,,,
MGDG-36:4,,3.13,,801.5460205,,904390,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-32:1,,3.27,,749.5170898,,17278460,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-32:1,,3.28,,727.5333862,,17278460,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-32:1,,3.28,,744.5609741,,17278460,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-34:7,,3.32,,743.4711304,,85572987,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-34:7,,3.32,,760.4977417,,85572987,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-34:7,,3.34,,765.4533691,,85572987,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-36:2,,3.56,,800.6262817,,401363,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:2,,3.56,,805.5799561,,401363,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:2,,N/F,,N/F,,401363,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-37:3,,3.5,,814.6420288,,34152,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-37:3,,N/F,,N/F,,34152,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-37:3,,N/F,,N/F,,34152,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-32:2,,3.34,,742.5439453,,8062335,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-32:2,,3.83,,725.5189209,,8062335,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-32:2,,3.31,,747.5053711,,8062335,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-33:0,,3.26,,760.5916138,,329726,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-33:0,,N/F,,N/F,,329726,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-33:0,,N/F,,N/F,,329726,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-31:0,,3.8,,734.5784912,,627249,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-31:0,,3.78,,739.5341797,,627249,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-31:0,,N/F,,N/F,,627249,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-32:0,,3.27,,729.5499268,,29012486,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-32:0,,3.26,,746.576355,,29012486,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-32:0,,3.26,,751.5325317,,29012486,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-31:1,,3.31,,715.5368652,,9251905,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-31:1,,3.37,,732.5601196,,9251905,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-31:1,,N/F,,N/F,,9251905,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-36:0,,3.52,,804.6566772,,1253825,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:0,,3.51,,809.6097412,,1253825,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-36:0,,N/F,,N/F,,1253825,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-28:1,,3.49,,673.4889526,,15383814,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-28:1,,3.51,,690.515686,,15383814,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-28:1,,3.51,,695.4709473,,15383814,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-30:2,,3.42,,699.5045776,,50066031,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-30:2,,3.43,,716.5301514,,50066031,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-30:2,,3.44,,721.4849243,,50066031,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-30:3,,3.48,,697.486084,,5671715,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-30:3,,3.45,,714.5147095,,5671715,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-30:3,,4.2,,719.4719238,,5671715,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-30:0,,3.84,,720.5633545,,14200320,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-30:0,,3.83,,725.5189209,,14200320,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-30:0,,3.91,,703.5383911,,14200320,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-27:2,,4.02,,676.5021362,,2446,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-27:2,,4.39,,681.4534302,,2446,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-27:2,,N/F,,N/F,,2446,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-24:0,,4.66,,619.4402466,,1042929,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-24:0,,4.86,,636.4663696,,1042929,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-24:0,,4.22,,641.4215088,,1042929,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-24:0,,4.66,,619.4402466,,1042929,Linear,0.000, ,N/A,,N/A,,,,,4
MGDG-24:0,,4.86,,636.4663696,,1042929,Linear,0.000, ,N/A,,N/A,,,,,5
MGDG-24:0,,4.22,,641.4215088,,1042929,Linear,0.000, ,N/A,,N/A,,,,,6
Gly-Cer-22:2,,6.13,,586.4341431,,613,Linear,0.000, ,N/A,,N/A,,,,,1
Gly-Cer-22:2,,5.74,,603.4606934,,613,Linear,0.000, ,N/A,,N/A,,,,,2
Gly-Cer-22:2,,N/F,,N/F,,613,Linear,0.000, ,N/F,,N/F,,,,,3
Gly-dGly-DAG-13:2,,6.46,,607.2930298,,424,Linear,0.000, ,N/A,,N/A,,,,,1
Gly-dGly-DAG-13:2,,N/F,,N/F,,424,Linear,0.000, ,N/F,,N/F,,,,,2
Gly-dGly-DAG-13:2,,N/F,,N/F,,424,Linear,0.000, ,N/F,,N/F,,,,,3
Gly-dGly-DAG-15:2,,7.1,,635.3253784,,559,Linear,0.000, ,N/A,,N/A,,,,,1
Gly-dGly-DAG-15:2,,N/F,,N/F,,559,Linear,0.000, ,N/F,,N/F,,,,,2
Gly-dGly-DAG-15:2,,N/F,,N/F,,559,Linear,0.000, ,N/F,,N/F,,,,,3
Gly-Cer-25:6,,7.65,,592.3850098,,1584,Linear,0.000, ,N/A,,N/A,,,,,1
Gly-Cer-25:6,,7.78,,609.4127197,,1584,Linear,0.000, ,N/A,,N/A,,,,,2
Gly-Cer-25:6,,N/F,,N/F,,1584,Linear,0.000, ,N/F,,N/F,,,,,3
DGTS-40:1,,7.59,,822.71875,,6463608,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-40:1,,7.58,,839.7468262,,6463608,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-40:1,,N/F,,N/F,,6463608,Linear,0.000, ,N/F,,N/F,,,,,3
DGTS-36:2,,7.62,,784.6071777,,10487396,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-36:2,,7.64,,762.6219482,,10487396,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-36:2,,N/F,,N/F,,10487396,Linear,0.000, ,N/F,,N/F,,,,,3
1-GLC-CER,,7.47,,728.6062622,,123433,Linear,0.000, ,N/A,,N/A,,,,,1
1-GLC-CER,,7.86,,750.5891724,,123433,Linear,0.000, ,N/A,,N/A,,,,,3
1-GLC-CER,,N/F,,N/F,,123433,Linear,0.000, ,N/F,,N/F,,,,,2
DGTS-36:4,,7.66,,758.5912476,,9447248,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-36:4,,7.64,,780.5761719,,9447248,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-36:4,,N/F,,N/F,,9447248,Linear,0.000, ,N/F,,N/F,,,,,3
DGTS-38:0,,7.61,,786.6240234,,2900253,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-38:0,,7.61,,808.6096191,,2900253,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-38:0,,7.61,,786.6240234,,2900253,Linear,0.000, ,N/A,,N/A,,,,,4
DGTS-38:0,,7.61,,808.6096191,,2900253,Linear,0.000, ,N/A,,N/A,,,,,6
DGTS-38:0,,N/F,,N/F,,2900253,Linear,0.000, ,N/F,,N/F,,,,,2
DGTS-38:0,,N/F,,N/F,,2900253,Linear,0.000, ,N/F,,N/F,,,,,5
DGTS-33:1,,7.67,,746.5927734,,3890003,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-33:1,,7.72,,724.607666,,3890003,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-33:1,,8.14,,741.6315308,,3890003,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-34:2,,7.69,,736.607666,,21749585,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-34:2,,7.69,,736.607666,,21749585,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-34:2,,7.66,,758.5912476,,21749585,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-34:2,,8.08,,753.6377563,,21749585,Linear,0.000, ,N/A,,N/A,,,,,4
DGTS-34:2,,8.08,,753.6377563,,21749585,Linear,0.000, ,N/A,,N/A,,,,,5
DGTS-34:2,,7.66,,758.5912476,,21749585,Linear,0.000, ,N/A,,N/A,,,,,6
DGTS-38:5,,7.61,,786.6240234,,1450126,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-38:5,,7.61,,808.6096191,,1450126,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-38:5,,N/F,,N/F,,1450126,Linear,0.000, ,N/F,,N/F,,,,,2
DGTS-32:1,,7.75,,710.592041,,13720747,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-32:1,,7.7,,732.576416,,13720747,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-32:1,,7.7,,727.6224976,,13720747,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-37:5,,7.62,,772.6065674,,98134,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-37:5,,N/F,,N/F,,98134,Linear,0.000, ,N/F,,N/F,,,,,2
DGTS-37:5,,N/F,,N/F,,98134,Linear,0.000, ,N/F,,N/F,,,,,3
DGTS-36:6,,7.69,,754.5599976,,5143932,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-36:6,,7.59,,776.5455933,,5143932,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-36:6,,N/F,,N/F,,5143932,Linear,0.000, ,N/F,,N/F,,,,,2
DGTS,,7.76,,712.6069946,,7354262,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS,,7.69,,734.5910034,,7354262,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS,,7.74,,729.6347046,,7354262,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-34:4,,7.7,,732.576416,,12995791,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-34:4,,7.69,,754.5599976,,12995791,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-34:4,,7.26,,749.6002197,,12995791,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-30:1,,7.81,,682.5632935,,5538990,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-30:1,,7.75,,704.5456543,,5538990,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-30:1,,N/F,,N/F,,5538990,Linear,0.000, ,N/F,,N/F,,,,,3
DGTS-36:5,,7.67,,756.5761108,,21494582,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-36:5,,7.67,,756.5761108,,21494582,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-36:5,,7.9,,773.6071777,,21494582,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-36:5,,7.62,,778.5616455,,21494582,Linear,0.000, ,N/A,,N/A,,,,,4
DGTS-36:5,,7.67,,756.5761108,,21494582,Linear,0.000, ,N/A,,N/A,,,,,5
DGTS-36:5,,7.9,,773.6071777,,21494582,Linear,0.000, ,N/A,,N/A,,,,,6
DGTS-36:5,,7.62,,778.5616455,,21494582,Linear,0.000, ,N/A,,N/A,,,,,7
DGTS-36:5,,7.9,,773.6071777,,21494582,Linear,0.000, ,N/A,,N/A,,,,,8
DGTS-36:5,,7.62,,778.5616455,,21494582,Linear,0.000, ,N/A,,N/A,,,,,9
DGTS-31:0,,7.79,,698.5930786,,1472235,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-31:0,,7.78,,715.6182861,,1472235,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-31:0,,7.75,,720.5762329,,1472235,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-29:0,,7.86,,670.5633545,,2005952,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-29:0,,7.82,,687.5877686,,2005952,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-29:0,,7.77,,692.5460205,,2005952,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-34:0,,7.72,,740.6366577,,15681968,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-34:0,,7.7,,757.6644287,,15681968,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-34:0,,7.69,,738.6228027,,15681968,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-34:0,,8.09,,755.647583,,15681968,Linear,0.000, ,N/A,,N/A,,,,,4
DGTS-34:0,,8.12,,760.6084595,,15681968,Linear,0.000, ,N/A,,N/A,,,,,5
DGTS-34:0,,7.64,,762.6219482,,15681968,Linear,0.000, ,N/A,,N/A,,,,,6
DGTS-34:1,,7.69,,738.6228027,,46263574,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-34:1,,7.62,,760.6081543,,46263574,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-34:1,,7.69,,738.6228027,,46263574,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-34:1,,8.09,,755.647583,,46263574,Linear,0.000, ,N/A,,N/A,,,,,4
DGTS-34:1,,8.09,,755.647583,,46263574,Linear,0.000, ,N/A,,N/A,,,,,5
DGTS-34:1,,7.62,,760.6081543,,46263574,Linear,0.000, ,N/A,,N/A,,,,,6
DGTS-34:3,,7.69,,734.5910034,,12039629,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-34:3,,7.67,,756.5761108,,12039629,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-34:3,,N/F,,N/F,,12039629,Linear,0.000, ,N/F,,N/F,,,,,2
DGTS-35:1,,7.66,,750.6238403,,555055,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-35:1,,8.07,,767.6537476,,555055,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-35:1,,7.62,,772.6065674,,555055,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-39:1,,7.61,,808.6999512,,265006,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-39:1,,7.59,,825.7296143,,265006,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-39:1,,7.97,,830.6877441,,265006,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-28:1,,7.85,,654.5325317,,1362015,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-28:1,,7.78,,676.5148926,,1362015,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-28:1,,7.61,,671.5578003,,1362015,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-37:2,,7.61,,778.6533813,,73787,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-37:2,,7.58,,800.6412964,,73787,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-37:2,,N/F,,N/F,,73787,Linear,0.000, ,N/F,,N/F,,,,,2
DGTS-30:0,,7.82,,684.5780029,,3936706,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-30:0,,7.76,,706.5609741,,3936706,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-30:0,,7.81,,701.6012573,,3936706,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-36:3,,7.62,,760.6081543,,19492007,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-36:3,,7.63,,777.6383057,,19492007,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-36:3,,7.62,,782.5911255,,19492007,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-34:5,,7.72,,730.5602417,,9516508,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-34:5,,7.68,,752.5452881,,9516508,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-34:5,,N/F,,N/F,,9516508,Linear,0.000, ,N/F,,N/F,,,,,2
DGTS-34:6,,7.71,,728.5453491,,5944470,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-34:6,,7.67,,750.5297852,,5944470,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-34:6,,N/F,,N/F,,5944470,Linear,0.000, ,N/F,,N/F,,,,,2
DGTS-28:0,,7.88,,656.5482788,,8541313,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-28:0,,7.86,,673.5725098,,8541313,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-28:0,,7.78,,678.5308838,,8541313,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-32:0,,7.76,,712.6069946,,7353931,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-32:0,,7.74,,729.6347046,,7353931,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-32:0,,7.69,,734.5910034,,7353931,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-38:1,,7.62,,794.685791,,923715,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-38:1,,7.66,,811.7172241,,923715,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-38:1,,7.58,,816.6723633,,923715,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-26:2,,8.37,,624.4858398,,20004,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-26:2,,7.86,,646.4679565,,20004,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-26:2,,N/F,,N/F,,20004,Linear,0.000, ,N/F,,N/F,,,,,2
DGTS-32:2,,7.75,,708.5767212,,7986257,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-32:2,,8.16,,725.6061401,,7986257,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-32:2,,7.72,,730.5602417,,7986257,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-27:0,,7.91,,642.5324097,,1217195,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-27:0,,7.88,,659.5568848,,1217195,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-27:0,,7.66,,664.5133667,,1217195,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-32:3,,7.76,,706.5609741,,8153991,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-32:3,,7.96,,723.5905151,,8153991,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-32:3,,7.71,,728.5453491,,8153991,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-26:0,,7.96,,628.5167236,,876398,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-26:0,,7.92,,645.5407104,,876398,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-26:0,,8.25,,650.4973145,,876398,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-29:1,,7.82,,668.5478516,,380560,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-29:1,,8.3,,685.5745239,,380560,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-29:1,,7.78,,690.5303345,,380560,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-37:6,,7.61,,770.5924683,,110615,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-37:6,,N/F,,N/F,,110615,Linear,0.000, ,N/F,,N/F,,,,,2
DGTS-37:6,,N/F,,N/F,,110615,Linear,0.000, ,N/F,,N/F,,,,,3
DGTS-32:4,,7.75,,704.5456543,,7751552,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-32:4,,7.74,,726.5292358,,7751552,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-32:4,,N/F,,N/F,,7751552,Linear,0.000, ,N/F,,N/F,,,,,2
PG-DAG-26:0,,8.31,,656.4523926,,2616,Linear,0.000, ,N/A,,N/A,,,,,2
PG-DAG-26:0,,N/F,,N/F,,2616,Linear,0.000, ,N/F,,N/F,,,,,1
PG-DAG-26:0,,N/F,,N/F,,2616,Linear,0.000, ,N/F,,N/F,,,,,3
DGTS-37:1,,7.61,,780.6699219,,11357,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-37:1,,N/F,,N/F,,11357,Linear,0.000, ,N/F,,N/F,,,,,2
DGTS-37:1,,N/F,,N/F,,11357,Linear,0.000, ,N/F,,N/F,,,,,3
DGTS-35:0,,7.68,,752.637146,,584190,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-35:0,,8.08,,769.6637573,,584190,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-35:0,,7.64,,774.6231079,,584190,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-31:1,,7.78,,696.5776367,,852484,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-31:1,,8.21,,713.6061401,,852484,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-31:1,,7.74,,718.5621948,,852484,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-33:0,,8.65,,714.6245117,,1140955,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-33:0,,7.96,,736.609436,,1140955,Linear,0.000, ,N/A,,N/A,,,,,3
