Quantitation Report,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Lab Name:,OGL,,,,,,,,,,,,,,,,
Instrument:,QEFocus,,,,,,,,Method:,Known_IPLs_Marine_11_14_2018_Known_IPLs_Marine_11_14_2018,,,,,,,
User:,Thermo,,,,,,,,,Known_IPLs_Marine_11_14_2018,,,,,,,
Batch:,Known_IPLs_Marine_11_14_2018,,,,,,,,Cali File:,Known_IPLs_Marine_11_14_2018.calx,,,,,,,
,,,,,,,,,,,,,,,,,
Vial Pos,,Sample ID,,File Name,,Level,,Sample Name,,File Date,,Comment,,,,,
RD7,,1,,QEF1638_OG44_T5-35-2-7_SC,,N/A,,,,8/1/2018 7:10:11 AM,,,,, ,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Internal Standards,,RT,,Quan Peak,,Response,,,,"Injected
Conc",Units,"Calculated
Conc",Units,Flags,,Manual Flag,Peak Index
,,,,,,,,,,,,,,,,,
No data,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Surrogates,,RT,,Quan Peak,,Response,Curve Type,"Average RF/
Response Ratio",,"Injected
Conc",Units,"Calculated
Conc",Units,Flags,,Manual Flag,Peak Index
,,,,,,,,,,,,,,,,,
No data,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Target Compounds,,RT,,Quan Peak,,Response,Curve Type,"Average RF/
Response Ratio",,"Injected
Conc",Units,"Calculated
Conc",Units,Flags,,Manual Flag,Peak Index
MGDG-36:5,,2.65,,794.574646,,6659,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:5,,N/F,,N/F,,6659,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-36:5,,N/F,,N/F,,6659,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-19:2,,2.46,,549.3623657,,16671,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-19:2,,3.28,,566.3892822,,16671,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-19:2,,3.05,,571.3449707,,16671,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-19:2,,2.66,,549.3609619,,16671,Linear,0.000, ,N/A,,N/A,,,,,4
MGDG-19:2,,3.28,,566.3892822,,16671,Linear,0.000, ,N/A,,N/A,,,,,5
MGDG-19:2,,3.05,,571.3449707,,16671,Linear,0.000, ,N/A,,N/A,,,,,6
MGDG,,3.21,,775.5350952,,6878116,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG,,3.16,,792.5616455,,6878116,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG,,3.16,,797.5177612,,6878116,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-34:1,,3.21,,772.5932617,,2410943,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-34:1,,3.18,,777.5456543,,2410943,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-34:1,,N/F,,N/F,,2410943,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-36:8,,3.24,,771.5010986,,26097736,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:8,,3.24,,788.5276489,,26097736,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:8,,3.23,,793.4840698,,26097736,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-36:9,,3.29,,769.486084,,124547445,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:9,,3.28,,786.5134888,,124547445,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:9,,3.28,,791.4686279,,124547445,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-30:1,,3.37,,718.5453491,,315430968,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-30:1,,3.38,,723.4997559,,315430968,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-30:1,,3.37,,701.5186768,,315430968,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-36:10,,3.34,,784.4973755,,38855649,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:10,,3.28,,767.4700928,,38855649,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:10,,3.34,,789.453064,,38855649,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-28:0,,3.5,,692.5301514,,21724588,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-28:0,,3.48,,697.486084,,21724588,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-28:0,,3.49,,675.5048218,,21724588,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-34:5,,3.31,,747.5053711,,12433556,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-34:5,,3.28,,764.5283203,,12433556,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-34:5,,3.29,,769.486084,,12433556,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-36:4,,3.56,,779.5686646,,904390,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:4,,3.15,,796.5925293,,904390,Linear,0.000, ,N/A,,N/A,,,,,2
