Quantitation Report - 2,,,,,,,,,,,,,
,,,,,,,,,,,,,
MS Integ Params:,,Known_IPLs_Marine_11_14_2018,,,,Quant Time:,11/16/2018 2:27:23 PM,,,,,,
Quant Method:,,Known_IPLs_Marine_11_14_2018_Known_IPLs_Marine_11_14_2018,,,,Data File:,QEF1637_OG43_T3-14-2-7_SC,,,,,,
Title:,,Assay name,,,,Acq On:,8/1/2018 6:33:31 AM,,,,,,
Last Update:,,11/16/2018 2:22:51 PM,,,,Sample:,,,,,,,
Data Acq Method:,,IPL_BEHamide_FullMS,,,,Comment:,,,,,,,
Operator:,,Thermo,,,,Vial:,RD6,,,,,,
Instrument:,,QEFocus,,,,Multiplr:,1.000,,,,,,
Response Via:,,Known_IPLs_Marine_11_14_2018.calx,,,,Quant Results File:,C:\TraceFinderData\4.0\Projects\IPLs\Known_IPLs_Marine_11_14_2018\Data\QEF1637_OG43_T3-14-2-7_SC.rsx,,,,,, 
,,,,,,,,,,,,,
Internal Standards,,,,,,,,,,,,,
,,,,,,,,,,,,,
#,Compound Name,,RT,Quan Peak,Response,Conc,Units,Dev (min),,,Flags,Manual Flag,
,,,,,,,,,,,,,
No data,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Surrogates,,,,,,,,,,,,,
,,,,,,,,,,,,,
#,Compound Name,,RT,Quan Peak,Response,Conc,Units,Dev (min),Spike Amt,Recovery,Flags,Manual Flag,
,,,,,,,,,,,,,
No data,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Target Compounds,,,,,,,,,,,,,
,,,,,,,,,,,,,
#,Compound Name,,RT,Quan Peak,Response,Conc,Units,Dev (min),,,Flags,Manual Flag,
1,ARCHAEOL,,N/F,653.68062,N/F,N/F,ng,N/F,,,,FALSE,
1,,,N/F,670.70717,N/F,,,N/F,,,,FALSE,
1,,,N/F,675.66257,N/F,,,N/F,,,,FALSE,
2,MGDG-36:5,,N/F,777.55112,N/F,N/A,,N/F,,,,FALSE,
2,,,2.77,794.57767,,,,0.14,,,,FALSE,
2,,,2.62,799.53307,,,,-0.01,,,,FALSE,
3,MGDG-19:2,,2.84,549.36332,105546,N/A,,0.01,,,,FALSE,
3,,,3.24,566.38987,,,,0.41,,,,FALSE,
3,,,3.23,571.34527,,,,0.40,,,,FALSE,
3,,,3.43,549.36332,,,,0.39,,,,FALSE,
3,,,3.24,566.38987,,,,0.20,,,,FALSE,
3,,,3.23,571.34527,,,,0.19,,,,FALSE,
4,HPH-GDGT-1,,N/F,1703.37117,N/F,N/F,,N/F,,,,FALSE,
4,,,N/F,1720.39772,N/F,,,N/F,,,,FALSE,
4,,,N/F,1725.35312,N/F,,,N/F,,,,FALSE,
5,Gly-PDGT-0,,N/F,1491.39897,N/F,N/F,,N/F,,,,FALSE,
5,,,N/F,1508.42552,N/F,,,N/F,,,,FALSE,
5,,,N/F,1513.38091,N/F,,,N/F,,,,FALSE,
6,MGDG,,3.25,775.53547,2180232,N/A,,0.00,,,,FALSE,
6,,,3.15,792.56202,,,,-0.10,,,,FALSE,
6,,,3.14,797.51742,,,,-0.11,,,,FALSE,
7,MGDG-34:1,,3.22,772.59332,1255915,N/A,,-0.07,,,,FALSE,
7,,,3.14,755.56677,,,,-0.15,,,,FALSE,
7,,,3.19,777.54872,,,,-0.10,,,,FALSE,
8,Gly-GDGT-4,,N/F,1455.30507,N/F,N/F,,N/F,,,,FALSE,
8,,,N/F,1472.33162,N/F,,,N/F,,,,FALSE,
8,,,N/F,1477.28701,N/F,,,N/F,,,,FALSE,
9,MGDG-36:8,,3.27,771.50417,4380889,N/A,,-0.08,,,,FALSE,
9,,,3.23,788.53072,,,,-0.12,,,,FALSE,
9,,,3.22,793.48612,,,,-0.13,,,,FALSE,
10,Gly-GDGT-0,,N/F,1463.36767,N/F,N/F,,N/F,,,,FALSE,
10,,,N/F,1480.39422,N/F,,,N/F,,,,FALSE,
10,,,N/F,1485.34961,N/F,,,N/F,,,,FALSE,
11,MGDG-36:9,,3.28,769.48852,5919339,N/A,,-0.10,,,,FALSE,
11,,,3.28,786.51507,,,,-0.10,,,,FALSE,
11,,,3.27,791.47047,,,,-0.11,,,,FALSE,
12,MGDG-30:1,,3.37,718.54637,73057124,N/A,,-0.03,,,,FALSE,
12,,,3.37,723.50177,,,,-0.03,,,,FALSE,
12,,,3.37,701.51982,,,,-0.03,,,,FALSE,
13,MGDG-36:10,,3.34,784.49942,7784745,N/A,,-0.06,,,,FALSE,
13,,,3.30,767.47287,,,,-0.10,,,,FALSE,
13,,,3.34,789.45482,,,,-0.06,,,,FALSE,
14,Gly-GDGT-2,,N/F,1459.33637,N/F,N/F,,N/F,,,,FALSE,
14,,,N/F,1476.36292,N/F,,,N/F,,,,FALSE,
14,,,N/F,1481.31831,N/F,,,N/F,,,,FALSE,
15,Gly-GDGT-1,,N/F,1461.35202,N/F,N/F,,N/F,,,,FALSE,
15,,,N/F,1478.37857,N/F,,,N/F,,,,FALSE,
15,,,N/F,1483.33396,N/F,,,N/F,,,,FALSE,
16,MGDG-28:0,,3.47,692.53072,9734116,N/A,,0.00,,,,FALSE,
16,,,3.46,697.48612,,,,-0.01,,,,FALSE,
16,,,3.47,675.50417,,,,0.00,,,,FALSE,
17,Gly-OH-GDGT-1,,N/F,1477.34693,N/F,N/F,,N/F,,,,FALSE,
17,,,N/F,1494.37348,N/F,,,N/F,,,,FALSE,
17,,,N/F,1499.32888,N/F,,,N/F,,,,FALSE,
18,MGDG-34:5,,3.33,747.50417,1807022,N/A,,-0.19,,,,FALSE,
18,,,3.28,764.53072,,,,-0.24,,,,FALSE,
18,,,3.28,769.48612,,,,-0.24,,,,FALSE,
19,MGDG-36:4,,3.65,779.56677,282129,N/A,,0.13,,,,FALSE,
19,,,3.15,796.59332,,,,-0.37,,,,FALSE,
19,,,3.13,801.54872,,,,-0.39,,,,FALSE,
20,MGDG-32:1,,3.29,749.51742,5017208,N/A,,-0.24,,,,FALSE,
20,,,3.28,727.53547,,,,-0.25,,,,FALSE,
20,,,3.28,744.56202,,,,-0.25,,,,FALSE,
21,MGDG-34:7,,3.39,743.47287,2512735,N/A,,-0.14,,,,FALSE,
21,,,3.34,760.49942,,,,-0.19,,,,FALSE,
21,,,3.34,765.45482,,,,-0.19,,,,FALSE,
22,MGDG-36:2,,3.55,800.62462,761567,N/A,,0.01,,,,FALSE,
22,,,3.54,805.58002,,,,0.00,,,,FALSE,
22,,,N/F,783.59808,N/F,,,N/F,,,,FALSE,
23,MGDG-37:3,,3.50,814.64027,56483,N/A,,-0.05,,,,FALSE,
23,,,N/F,797.61373,N/F,,,N/F,,,,FALSE,
23,,,N/F,819.59567,N/F,,,N/F,,,,FALSE,
24,MGDG-32:2,,3.33,742.54637,3710475,N/A,,-0.27,,,,FALSE,
24,,,3.85,725.51982,,,,0.25,,,,FALSE,
24,,,3.29,747.50177,,,,-0.31,,,,FALSE,
25,HPH-GDGT-5,,N/F,1695.30857,N/F,N/F,,N/F,,,,FALSE,
25,,,N/F,1712.33512,N/F,,,N/F,,,,FALSE,
25,,,N/F,1717.29052,N/F,,,N/F,,,,FALSE,
26,MGDG-33:0,,3.26,760.59332,256635,N/A,,-0.36,,,,FALSE,
26,,,N/F,743.56677,N/F,,,N/F,,,,FALSE,
