Quantitation Report,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Lab Name:,OGL,,,,,,,,,,,,,,,,
Instrument:,QEFocus,,,,,,,,Method:,Known_IPLs_Marine_11_14_2018_Known_IPLs_Marine_11_14_2018,,,,,,,
User:,Thermo,,,,,,,,,Known_IPLs_Marine_11_14_2018,,,,,,,
Batch:,Known_IPLs_Marine_11_14_2018,,,,,,,,Cali File:,Known_IPLs_Marine_11_14_2018.calx,,,,,,,
,,,,,,,,,,,,,,,,,
Vial Pos,,Sample ID,,File Name,,Level,,Sample Name,,File Date,,Comment,,,,,
RD3,,1,,QEF1634_OG40_T5-250-2-7_SC,,N/A,,,,8/1/2018 4:43:32 AM,,,,, ,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Internal Standards,,RT,,Quan Peak,,Response,,,,"Injected
Conc",Units,"Calculated
Conc",Units,Flags,,Manual Flag,Peak Index
,,,,,,,,,,,,,,,,,
No data,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Surrogates,,RT,,Quan Peak,,Response,Curve Type,"Average RF/
Response Ratio",,"Injected
Conc",Units,"Calculated
Conc",Units,Flags,,Manual Flag,Peak Index
,,,,,,,,,,,,,,,,,
No data,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Target Compounds,,RT,,Quan Peak,,Response,Curve Type,"Average RF/
Response Ratio",,"Injected
Conc",Units,"Calculated
Conc",Units,Flags,,Manual Flag,Peak Index
MGDG-36:5,,2.36,,777.550293,,18521,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:5,,3.1,,794.5808716,,18521,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:5,,N/F,,N/F,,18521,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-19:2,,2.69,,549.361145,,569,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-19:2,,3.4,,549.3622437,,569,Linear,0.000, ,N/A,,N/A,,,,,4
MGDG-19:2,,N/F,,N/F,,569,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-19:2,,N/F,,N/F,,569,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-19:2,,N/F,,N/F,,569,Linear,0.000, ,N/F,,N/F,,,,,5
MGDG-19:2,,N/F,,N/F,,569,Linear,0.000, ,N/F,,N/F,,,,,6
MGDG,,3.19,,775.5388184,,24958,Linear,0.000, ,N/A,,N/A,,,,,1
