Quantitation Report,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Lab Name:,OGL,,,,,,,,,,,,,,,,
Instrument:,QEFocus,,,,,,,,Method:,Known_IPLs_Marine_11_14_2018_Known_IPLs_Marine_11_14_2018,,,,,,,
User:,Thermo,,,,,,,,,Known_IPLs_Marine_11_14_2018,,,,,,,
Batch:,Known_IPLs_Marine_11_14_2018,,,,,,,,Cali File:,Known_IPLs_Marine_11_14_2018.calx,,,,,,,
,,,,,,,,,,,,,,,,,
Vial Pos,,Sample ID,,File Name,,Level,,Sample Name,,File Date,,Comment,,,,,
RC6,,1,,QEF1628_OG35_T5-750-2-7_SC,,N/A,,,,8/1/2018 1:40:15 AM,,,,, ,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Internal Standards,,RT,,Quan Peak,,Response,,,,"Injected
Conc",Units,"Calculated
Conc",Units,Flags,,Manual Flag,Peak Index
,,,,,,,,,,,,,,,,,
No data,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Surrogates,,RT,,Quan Peak,,Response,Curve Type,"Average RF/
Response Ratio",,"Injected
Conc",Units,"Calculated
Conc",Units,Flags,,Manual Flag,Peak Index
,,,,,,,,,,,,,,,,,
No data,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Target Compounds,,RT,,Quan Peak,,Response,Curve Type,"Average RF/
Response Ratio",,"Injected
Conc",Units,"Calculated
Conc",Units,Flags,,Manual Flag,Peak Index
MGDG-36:5,,2.67,,777.5482178,,521,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:5,,N/F,,N/F,,521,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-36:5,,N/F,,N/F,,521,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-19:2,,3.05,,571.3432617,,497,Linear,0.000, ,N/A,,N/A,,,,,6
MGDG-19:2,,N/F,,N/F,,497,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-19:2,,N/F,,N/F,,497,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-19:2,,N/F,,N/F,,497,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-19:2,,N/F,,N/F,,497,Linear,0.000, ,N/F,,N/F,,,,,4
MGDG-19:2,,N/F,,N/F,,497,Linear,0.000, ,N/F,,N/F,,,,,5
MGDG,,3.25,,792.5629272,,1049,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG,,N/F,,N/F,,1049,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG,,N/F,,N/F,,1049,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-30:1,,3.38,,718.5474854,,1692528,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-30:1,,3.37,,723.5033569,,1692528,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-30:1,,3.37,,701.5209351,,1692528,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-36:10,,3.33,,784.496582,,2212,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:10,,N/F,,N/F,,2212,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-36:10,,N/F,,N/F,,2212,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-28:0,,3.48,,692.5324097,,395009,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-28:0,,3.48,,697.487793,,395009,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-28:0,,N/F,,N/F,,395009,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-34:5,,3.52,,747.5073853,,550,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-34:5,,N/F,,N/F,,550,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-34:5,,N/F,,N/F,,550,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-36:4,,3.53,,796.5953369,,820,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:4,,N/F,,N/F,,820,Linear,0.000, ,N/F,,N/F,,,,,1
