Quantitation Report,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Lab Name:,OGL,,,,,,,,,,,,,,,,
Instrument:,QEFocus,,,,,,,,Method:,Known_IPLs_Marine_11_14_2018_Known_IPLs_Marine_11_14_2018,,,,,,,
User:,Thermo,,,,,,,,,Known_IPLs_Marine_11_14_2018,,,,,,,
Batch:,Known_IPLs_Marine_11_14_2018,,,,,,,,Cali File:,Known_IPLs_Marine_11_14_2018.calx,,,,,,,
,,,,,,,,,,,,,,,,,
Vial Pos,,Sample ID,,File Name,,Level,,Sample Name,,File Date,,Comment,,,,,
RD6,,1,,QEF1637_OG43_T3-14-2-7_SC,,N/A,,,,8/1/2018 6:33:31 AM,,,,, ,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Internal Standards,,RT,,Quan Peak,,Response,,,,"Injected
Conc",Units,"Calculated
Conc",Units,Flags,,Manual Flag,Peak Index
,,,,,,,,,,,,,,,,,
No data,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Surrogates,,RT,,Quan Peak,,Response,Curve Type,"Average RF/
Response Ratio",,"Injected
Conc",Units,"Calculated
Conc",Units,Flags,,Manual Flag,Peak Index
,,,,,,,,,,,,,,,,,
No data,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Target Compounds,,RT,,Quan Peak,,Response,Curve Type,"Average RF/
Response Ratio",,"Injected
Conc",Units,"Calculated
Conc",Units,Flags,,Manual Flag,Peak Index
MGDG-36:5,,2.77,,794.5769653,,86708,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:5,,2.62,,799.5319824,,86708,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-36:5,,N/F,,N/F,,86708,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-19:2,,2.84,,549.3606567,,105546,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-19:2,,3.24,,566.3876953,,105546,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-19:2,,3.23,,571.3469849,,105546,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-19:2,,3.43,,549.3616333,,105546,Linear,0.000, ,N/A,,N/A,,,,,4
MGDG-19:2,,3.24,,566.3876953,,105546,Linear,0.000, ,N/A,,N/A,,,,,5
MGDG-19:2,,3.23,,571.3469849,,105546,Linear,0.000, ,N/A,,N/A,,,,,6
MGDG,,3.25,,775.5387573,,2180232,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG,,3.15,,792.5647583,,2180232,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG,,3.14,,797.5203247,,2180232,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-34:1,,3.22,,772.595459,,1255915,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-34:1,,3.14,,755.5630493,,1255915,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-34:1,,3.19,,777.5521851,,1255915,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-36:8,,3.27,,771.5012817,,4380889,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:8,,3.23,,788.5314941,,4380889,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:8,,3.22,,793.4884644,,4380889,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-36:9,,3.28,,769.4880371,,5919339,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:9,,3.28,,786.5144043,,5919339,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:9,,3.27,,791.4706421,,5919339,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-30:1,,3.37,,718.5454712,,73057124,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-30:1,,3.37,,723.5005493,,73057124,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-30:1,,3.37,,701.5189819,,73057124,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-36:10,,3.34,,784.4984741,,7784745,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:10,,3.3,,767.4693604,,7784745,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:10,,3.34,,789.4541016,,7784745,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-28:0,,3.47,,692.531311,,9734116,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-28:0,,3.46,,697.4869385,,9734116,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-28:0,,3.47,,675.5059204,,9734116,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-34:5,,3.33,,747.5072021,,1807022,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-34:5,,3.28,,764.5303345,,1807022,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-34:5,,3.28,,769.4880371,,1807022,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-36:4,,3.65,,779.5668335,,282129,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:4,,3.15,,796.5951538,,282129,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:4,,3.13,,801.552002,,282129,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-32:1,,3.29,,749.517395,,5017208,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-32:1,,3.28,,727.5339355,,5017208,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-32:1,,3.28,,744.5617676,,5017208,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-34:7,,3.39,,743.4713745,,2512735,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-34:7,,3.34,,760.4983521,,2512735,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-34:7,,3.34,,765.451416,,2512735,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-36:2,,3.55,,800.6271362,,761567,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:2,,3.54,,805.5803833,,761567,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:2,,N/F,,N/F,,761567,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-37:3,,3.5,,814.6425171,,56483,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-37:3,,N/F,,N/F,,56483,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-37:3,,N/F,,N/F,,56483,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-32:2,,3.33,,742.5452881,,3710475,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-32:2,,3.85,,725.5194092,,3710475,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-32:2,,3.29,,747.5030518,,3710475,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-33:0,,3.26,,760.5941772,,256635,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-33:0,,N/F,,N/F,,256635,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-33:0,,N/F,,N/F,,256635,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-31:0,,3.34,,734.5753174,,475947,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-31:0,,3.72,,739.536438,,475947,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-31:0,,N/F,,N/F,,475947,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-32:0,,3.28,,729.5495605,,9619866,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-32:0,,3.27,,746.5776367,,9619866,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-32:0,,3.27,,751.5338135,,9619866,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-31:1,,3.34,,732.5612183,,2309171,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-31:1,,3.29,,737.5150757,,2309171,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-31:1,,N/F,,N/F,,2309171,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-36:0,,3.51,,804.6572266,,112962,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:0,,3.5,,809.6096802,,112962,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-36:0,,N/F,,N/F,,112962,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-28:1,,3.47,,673.4885254,,3181245,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-28:1,,3.5,,690.5164795,,3181245,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-28:1,,3.49,,695.472229,,3181245,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-30:2,,3.37,,699.5025635,,10786927,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-30:2,,3.42,,716.5302124,,10786927,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-30:2,,3.43,,721.4862671,,10786927,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-30:3,,3.46,,697.4869385,,6530948,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-30:3,,3.44,,714.5153198,,6530948,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-30:3,,3.44,,719.473938,,6530948,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-30:0,,3.85,,720.5639648,,2810916,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-30:0,,3.85,,725.5194092,,2810916,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-30:0,,3.34,,703.5321655,,2810916,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-24:0,,4.58,,619.4401245,,137787,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-24:0,,4.92,,636.4664917,,137787,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-24:0,,4.58,,619.4401245,,137787,Linear,0.000, ,N/A,,N/A,,,,,4
MGDG-24:0,,4.92,,636.4664917,,137787,Linear,0.000, ,N/A,,N/A,,,,,5
MGDG-24:0,,N/F,,N/F,,137787,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-24:0,,N/F,,N/F,,137787,Linear,0.000, ,N/F,,N/F,,,,,6
Gly-Cer-22:2,,5.99,,586.4337769,,3204,Linear,0.000, ,N/A,,N/A,,,,,1
Gly-Cer-22:2,,N/F,,N/F,,3204,Linear,0.000, ,N/F,,N/F,,,,,2
Gly-Cer-22:2,,N/F,,N/F,,3204,Linear,0.000, ,N/F,,N/F,,,,,3
Gly-dGly-DAG-13:2,,7.02,,607.2938232,,867,Linear,0.000, ,N/A,,N/A,,,,,1
Gly-dGly-DAG-13:2,,N/F,,N/F,,867,Linear,0.000, ,N/F,,N/F,,,,,2
Gly-dGly-DAG-13:2,,N/F,,N/F,,867,Linear,0.000, ,N/F,,N/F,,,,,3
Gly-dGly-DAG-15:2,,7.2,,635.3244019,,1262,Linear,0.000, ,N/A,,N/A,,,,,1
Gly-dGly-DAG-15:2,,N/F,,N/F,,1262,Linear,0.000, ,N/F,,N/F,,,,,2
