--------------------------------------------------------------------------------------------------
 Station: LOWPHOX2_T05_001
 Position: 070 53.86 W, 20 05.95 S
 Time: Feb 03 2018, 20:39
--------------------------------------------------------------------------------------------------
 Bottle    DepSM     T090C     T190C     Sal00     Sal11    Ox0ML/L   Ox1ML/L  FlECO-AFL   Par
    1     2801.2    1.8129    1.8121   34.6753   34.6795    2.9811    3.0090    0.0024     0.0000
    2     2800.2    1.8124    1.8114   34.6752   34.6794    2.9818    3.0062    0.0024     0.0000
    3     1999.2    2.2323    2.2323   34.6395   34.6431    2.5605    2.5813    0.0030     0.0000
    4     2000.8    2.2367    2.2363   34.6394   34.6432    2.5372    2.5591    0.0049     0.0000
    5     1002.5    4.5113    4.5118   34.5121   34.5156    1.2634    1.2803    0.0279     0.0000
    6     1001.5    4.5135    4.5136   34.5123   34.5156    1.2656    1.2756    0.0261     0.0000
    7      751.3    5.8760    5.8742   34.5039   34.5069    0.7355    0.7434    0.0310     0.0000
    8      749.7    5.8972    5.8968   34.5039   34.5072    0.7317    0.7422    0.0317     0.0000
    9      500.1    7.8255    7.8240   34.5611   34.5645    0.2996    0.3066    0.0329     0.0000
   10      500.6    7.8268    7.8269   34.5615   34.5648    0.2977    0.3035    0.0329     0.0000
   11      250.1   11.1477   11.1474   34.7696   34.7732    0.0119    0.0163    0.0478     0.0000
   12      249.8   11.1527   11.1499   34.7705   34.7741    0.0130    0.0155    0.0634     0.0000
   13      100.4   12.9576   12.9580   34.8575   34.8609    0.0103    0.0127    0.0790     0.0000
   14      100.0   12.9598   12.9592   34.8576   34.8612    0.0094    0.0128    0.0640     0.0000
   15       50.6   13.8304   13.8309   34.7911   34.7954    0.0474    0.0484    1.4240     0.0000
   16       50.4   13.7899   13.8160   34.7936   34.7965    0.0435    0.0447    1.3741     0.0000
   17       30.1   15.3982   15.3942   34.8096   34.8126    2.0498    2.0769    7.8784     0.0000
   18       30.6   15.4547   15.4302   34.8120   34.8168    2.1916    2.2472    6.5098     0.0000
   19       24.6   18.0131   18.0747   34.9307   34.9319    5.7302    5.8351    1.7678     0.0000
   20       23.8   18.2102   18.2213   34.9322   34.9354    5.6354    5.6647    1.2551     0.0000
   21        9.9   24.2831   24.2806   35.2538   35.2581    4.6866    4.7241    0.2154     0.0005
   22        9.6   24.2943   24.3059   35.2619   35.2660    4.6840    4.7192    0.2247     0.0041
   23        2.6   24.5579   24.5301   35.2749   35.2847    4.6858    4.7276    0.2185     0.6045
   24        2.4   24.5562   24.5677   35.2793   35.2850    4.7033    4.7106    0.1513     0.5612
--------------------------------------------------------------------------------------------------
