Compound,,RT,,Quan Peak,,Response,Curve Type,"Average RF/
Response Ratio",,"Injected
Conc",Units,"Calculated
Conc",Units,Flags,,Manual Flag,Peak Index
MGDG-19:2,,1.03,,549.361084,,302629,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-19:2,,4.36,,566.3916626,,302629,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-19:2,,13.87,,571.3452148,,302629,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-19:2,,1.03,,549.361084,,302629,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
MGDG-19:2,,4.36,,566.3916626,,302629,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
MGDG-19:2,,13.87,,571.3452148,,302629,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
MGDG-31:1,,3.35,,732.5585938,,99516451,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-31:1,,9.97,,737.5140381,,99516451,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-31:1,,7.07,,715.5390015,,99516451,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
MGDG-31:1,,3.35,,732.5585938,,99516451,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
MGDG-31:1,,9.97,,737.5140381,,99516451,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
MGDG-31:1,,7.07,,715.5390015,,99516451,Linear,0.000, ,N/A,ng,N/A,ng,,,,7
MGDG-31:1,,3.35,,732.5585938,,99516451,Linear,0.000, ,N/A,ng,N/A,ng,,,,8
MGDG-31:1,,9.97,,737.5140381,,99516451,Linear,0.000, ,N/A,ng,N/A,ng,,,,9
MGDG-31:1,,7.07,,715.5390015,,99516451,Linear,0.000, ,N/A,ng,N/A,ng,,,,10
MGDG-31:1,,3.35,,732.5585938,,99516451,Linear,0.000, ,N/A,ng,N/A,ng,,,,11
MGDG-31:1,,9.97,,737.5140381,,99516451,Linear,0.000, ,N/A,ng,N/A,ng,,,,12
MGDG-31:1,,7.07,,715.5390015,,99516451,Linear,0.000, ,N/A,ng,N/A,ng,,,,13
MGDG-31:1,,3.35,,732.5585938,,99516451,Linear,0.000, ,N/A,ng,N/A,ng,,,,14
MGDG-31:1,,9.97,,737.5140381,,99516451,Linear,0.000, ,N/A,ng,N/A,ng,,,,15
MGDG-31:1,,N/F,,N/F,,99516451,Linear,0.000, ,N/F,ng,N/F,ng,,,,1
MGDG-34:5,,11.09,,747.5010376,,8756317,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-34:5,,3.28,,764.5290527,,8756317,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-34:5,,10.98,,769.4855957,,8756317,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-34:5,,11.09,,747.5010376,,8756317,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
MGDG-34:5,,3.28,,764.5290527,,8756317,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
MGDG-34:5,,10.98,,769.4855957,,8756317,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
MGDG-34:5,,11.09,,747.5010376,,8756317,Linear,0.000, ,N/A,ng,N/A,ng,,,,7
MGDG-34:5,,3.28,,764.5290527,,8756317,Linear,0.000, ,N/A,ng,N/A,ng,,,,8
MGDG-34:5,,10.98,,769.4855957,,8756317,Linear,0.000, ,N/A,ng,N/A,ng,,,,9
