Compound,,RT,,Quan Peak,,Response,Curve Type,"Average RF/
Response Ratio",,"Injected
Conc",Units,"Calculated
Conc",Units,Flags,,Manual Flag,Peak Index
MGDG-36:0,,1.08,,809.6136475,,3937805,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-36:0,,18.1,,787.6331787,,3937805,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
MGDG-36:0,,10.2,,804.6536255,,3937805,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
MGDG-36:0,,18.1,,787.6331787,,3937805,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
MGDG-36:0,,10.2,,804.6536255,,3937805,Linear,0.000, ,N/A,ng,N/A,ng,,,,7
MGDG-36:0,,18.1,,787.6331787,,3937805,Linear,0.000, ,N/A,ng,N/A,ng,,,,8
MGDG-36:0,,10.2,,804.6536255,,3937805,Linear,0.000, ,N/A,ng,N/A,ng,,,,9
MGDG-36:4,,1.17,,796.5897217,,365696,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-36:4,,9.95,,779.5631104,,365696,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-36:4,,7.6,,801.5512085,,365696,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-30:2,,3.44,,716.5272217,,80362592,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-30:2,,4.93,,699.5039063,,80362592,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-30:2,,3.42,,721.4851685,,80362592,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
PE-DEG-35:3,,1.65,,700.5612183,,238533,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
PE-DEG-35:3,,0.72,,717.59375,,238533,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
PE-DEG-35:3,,1.04,,722.5494995,,238533,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
PE-DEG-30:0,,1.76,,658.5130615,,962164,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
PE-DEG-30:0,,1.76,,658.5130615,,962164,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
PE-DEG-30:0,,0.12,,636.5309448,,962164,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
PE-DEG-30:0,,0.12,,636.5309448,,962164,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
PE-DEG-30:0,,21.51,,653.5576172,,962164,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
PE-DEG-30:0,,21.51,,653.5576172,,962164,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
PE-DEG-24:3,,3.32,,563.4161377,,761825,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
PE-DEG-24:3,,3.32,,563.4161377,,761825,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
PE-DEG-24:3,,1.08,,546.3932495,,761825,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
PE-DEG-24:3,,12.31,,568.3756714,,761825,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
PE-DEG-24:3,,1.08,,546.3932495,,761825,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
PE-DEG-24:3,,12.31,,568.3756714,,761825,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
MGDG-30:1,,3.39,,718.5437012,,2812726366,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-30:1,,3.39,,718.5437012,,2812726366,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-30:1,,3.39,,718.5437012,,2812726366,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-30:1,,3.39,,718.5437012,,2812726366,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
MGDG-30:1,,3.39,,718.5437012,,2812726366,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
MGDG-30:1,,3.39,,718.5437012,,2812726366,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
MGDG-30:1,,3.39,,718.5437012,,2812726366,Linear,0.000, ,N/A,ng,N/A,ng,,,,7
MGDG-30:1,,3.39,,701.517334,,2812726366,Linear,0.000, ,N/A,ng,N/A,ng,,,,8
MGDG-30:1,,3.41,,723.4984741,,2812726366,Linear,0.000, ,N/A,ng,N/A,ng,,,,9
MGDG-30:1,,3.39,,701.517334,,2812726366,Linear,0.000, ,N/A,ng,N/A,ng,,,,10
MGDG-30:1,,3.41,,723.4984741,,2812726366,Linear,0.000, ,N/A,ng,N/A,ng,,,,11
MGDG-30:1,,3.39,,701.517334,,2812726366,Linear,0.000, ,N/A,ng,N/A,ng,,,,12
MGDG-30:1,,3.41,,723.4984741,,2812726366,Linear,0.000, ,N/A,ng,N/A,ng,,,,13
MGDG-30:1,,3.39,,701.517334,,2812726366,Linear,0.000, ,N/A,ng,N/A,ng,,,,14
MGDG-30:1,,3.41,,723.4984741,,2812726366,Linear,0.000, ,N/A,ng,N/A,ng,,,,15
MGDG-30:1,,3.39,,701.517334,,2812726366,Linear,0.000, ,N/A,ng,N/A,ng,,,,16
MGDG-30:1,,3.41,,723.4984741,,2812726366,Linear,0.000, ,N/A,ng,N/A,ng,,,,17
MGDG-30:1,,3.39,,701.517334,,2812726366,Linear,0.000, ,N/A,ng,N/A,ng,,,,18
MGDG-30:1,,3.41,,723.4984741,,2812726366,Linear,0.000, ,N/A,ng,N/A,ng,,,,19
MGDG-30:1,,3.39,,701.517334,,2812726366,Linear,0.000, ,N/A,ng,N/A,ng,,,,20
MGDG-30:1,,3.41,,723.4984741,,2812726366,Linear,0.000, ,N/A,ng,N/A,ng,,,,21
MGDG-28:0,,3.49,,692.527771,,110941475,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-28:0,,3.49,,692.527771,,110941475,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-28:0,,3.49,,692.527771,,110941475,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-28:0,,3.49,,692.527771,,110941475,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
MGDG-28:0,,3.49,,692.527771,,110941475,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
MGDG-28:0,,3.49,,692.527771,,110941475,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
MGDG-28:0,,3.48,,697.4837646,,110941475,Linear,0.000, ,N/A,ng,N/A,ng,,,,7
MGDG-28:0,,3.48,,697.4837646,,110941475,Linear,0.000, ,N/A,ng,N/A,ng,,,,8
MGDG-28:0,,3.48,,697.4837646,,110941475,Linear,0.000, ,N/A,ng,N/A,ng,,,,9
MGDG-28:0,,3.48,,697.4837646,,110941475,Linear,0.000, ,N/A,ng,N/A,ng,,,,10
MGDG-28:0,,3.48,,697.4837646,,110941475,Linear,0.000, ,N/A,ng,N/A,ng,,,,11
MGDG-28:0,,3.48,,697.4837646,,110941475,Linear,0.000, ,N/A,ng,N/A,ng,,,,12
MGDG-28:0,,1.17,,675.5070801,,110941475,Linear,0.000, ,N/A,ng,N/A,ng,,,,13
MGDG-28:0,,1.17,,675.5070801,,110941475,Linear,0.000, ,N/A,ng,N/A,ng,,,,14
MGDG-28:0,,1.17,,675.5070801,,110941475,Linear,0.000, ,N/A,ng,N/A,ng,,,,15
MGDG-28:0,,1.17,,675.5070801,,110941475,Linear,0.000, ,N/A,ng,N/A,ng,,,,16
MGDG-28:0,,1.17,,675.5070801,,110941475,Linear,0.000, ,N/A,ng,N/A,ng,,,,17
MGDG-28:0,,1.17,,675.5070801,,110941475,Linear,0.000, ,N/A,ng,N/A,ng,,,,18
MGDG-30:0,,6.92,,725.5209961,,11557617,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-30:0,,6.92,,725.5209961,,11557617,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-30:0,,6.92,,725.5209961,,11557617,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-30:0,,3.85,,720.5598755,,11557617,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
MGDG-30:0,,3.85,,720.5598755,,11557617,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
MGDG-30:0,,3.85,,720.5598755,,11557617,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
MGDG-30:0,,12.04,,703.5346069,,11557617,Linear,0.000, ,N/A,ng,N/A,ng,,,,7
MGDG-30:0,,12.04,,703.5346069,,11557617,Linear,0.000, ,N/A,ng,N/A,ng,,,,8
