Compound,,RT,,Quan Peak,,Response,Curve Type,"Average RF/
Response Ratio",,"Injected
Conc",Units,"Calculated
Conc",Units,Flags,,Manual Flag,Peak Index
MGDG-19:2,,6.67,,549.3659668,,230705,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-19:2,,7.4,,566.3921509,,230705,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-19:2,,7.65,,571.3479004,,230705,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-19:2,,6.67,,549.3659668,,230705,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
MGDG-19:2,,7.4,,566.3921509,,230705,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
MGDG-19:2,,7.65,,571.3479004,,230705,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
MGDG-31:1,,3.35,,715.5353394,,151764055,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-31:1,,3.36,,732.5587769,,151764055,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-31:1,,9.97,,737.5144653,,151764055,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-31:1,,3.35,,715.5353394,,151764055,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
MGDG-31:1,,3.36,,732.5587769,,151764055,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
MGDG-31:1,,9.97,,737.5144653,,151764055,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
MGDG-31:1,,3.35,,715.5353394,,151764055,Linear,0.000, ,N/A,ng,N/A,ng,,,,7
MGDG-31:1,,3.36,,732.5587769,,151764055,Linear,0.000, ,N/A,ng,N/A,ng,,,,8
MGDG-31:1,,9.97,,737.5144653,,151764055,Linear,0.000, ,N/A,ng,N/A,ng,,,,9
MGDG-31:1,,3.35,,715.5353394,,151764055,Linear,0.000, ,N/A,ng,N/A,ng,,,,10
MGDG-31:1,,3.36,,732.5587769,,151764055,Linear,0.000, ,N/A,ng,N/A,ng,,,,11
MGDG-31:1,,9.97,,737.5144653,,151764055,Linear,0.000, ,N/A,ng,N/A,ng,,,,12
MGDG-31:1,,3.35,,715.5353394,,151764055,Linear,0.000, ,N/A,ng,N/A,ng,,,,13
MGDG-31:1,,3.36,,732.5587769,,151764055,Linear,0.000, ,N/A,ng,N/A,ng,,,,14
MGDG-31:1,,9.97,,737.5144653,,151764055,Linear,0.000, ,N/A,ng,N/A,ng,,,,15
MGDG-34:5,,11.1,,747.5021973,,10286701,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-34:5,,3.31,,764.5292358,,10286701,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-34:5,,3.31,,769.4848633,,10286701,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-34:5,,11.1,,747.5021973,,10286701,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
MGDG-34:5,,3.31,,764.5292358,,10286701,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
MGDG-34:5,,3.31,,769.4848633,,10286701,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
MGDG-34:5,,11.1,,747.5021973,,10286701,Linear,0.000, ,N/A,ng,N/A,ng,,,,7
MGDG-34:5,,3.31,,764.5292358,,10286701,Linear,0.000, ,N/A,ng,N/A,ng,,,,8
MGDG-34:5,,3.31,,769.4848633,,10286701,Linear,0.000, ,N/A,ng,N/A,ng,,,,9
MGDG-41:3,,22.01,,853.6733398,,1522150,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-41:3,,1.05,,870.7047729,,1522150,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-41:3,,1.15,,875.6540527,,1522150,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
PE-DEG-25:4,,6.47,,558.3897095,,3088151,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
PE-DEG-25:4,,6.71,,575.4172974,,3088151,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
PE-DEG-25:4,,6.4,,580.3710327,,3088151,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
PE-DEG-25:4,,6.47,,558.3897095,,3088151,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
PE-DEG-25:4,,6.71,,575.4172974,,3088151,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
PE-DEG-25:4,,6.4,,580.3710327,,3088151,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
PE-DEG-25:4,,6.47,,558.3897095,,3088151,Linear,0.000, ,N/A,ng,N/A,ng,,,,7
PE-DEG-25:4,,6.71,,575.4172974,,3088151,Linear,0.000, ,N/A,ng,N/A,ng,,,,8
PE-DEG-25:4,,6.4,,580.3710327,,3088151,Linear,0.000, ,N/A,ng,N/A,ng,,,,9
PE-DEG-27:4,,6.3,,586.4247437,,9963911,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
PE-DEG-27:4,,6.65,,603.4486084,,9963911,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
PE-DEG-27:4,,5.16,,608.4022217,,9963911,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-32:1,,3.33,,744.5604858,,28180192,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-32:1,,4.66,,727.5363159,,28180192,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-32:1,,11.1,,749.5166016,,28180192,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-37:3,,0.92,,814.6375122,,2916870,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-37:3,,10.89,,819.5929565,,2916870,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-37:3,,23.44,,797.6100464,,2916870,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-27:2,,7.04,,676.5014038,,1100194,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-27:2,,10.77,,681.451416,,1100194,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-27:2,,7.52,,659.4761353,,1100194,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-36:0,,4.84,,809.6100464,,11728527,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-36:0,,4.84,,809.6100464,,11728527,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-36:0,,4.84,,809.6100464,,11728527,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-36:0,,7.62,,787.6266479,,11728527,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
MGDG-36:0,,4.59,,804.6557007,,11728527,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
MGDG-36:0,,7.62,,787.6266479,,11728527,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
MGDG-36:0,,4.59,,804.6557007,,11728527,Linear,0.000, ,N/A,ng,N/A,ng,,,,7
MGDG-36:0,,7.62,,787.6266479,,11728527,Linear,0.000, ,N/A,ng,N/A,ng,,,,8
MGDG-36:0,,4.59,,804.6557007,,11728527,Linear,0.000, ,N/A,ng,N/A,ng,,,,9
MGDG-36:4,,1.2,,796.5930786,,4045316,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-36:4,,5.34,,779.5697021,,4045316,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-36:4,,3.15,,801.5513306,,4045316,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-30:2,,3.46,,716.5292969,,136888195,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-30:2,,4.95,,699.5044556,,136888195,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-30:2,,3.47,,721.4854126,,136888195,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
PE-DEG-35:3,,8.34,,700.5666504,,370950,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
PE-DEG-35:3,,11.68,,717.59375,,370950,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
PE-DEG-35:3,,6.46,,722.5422974,,370950,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
PE-DEG-30:0,,1.76,,658.5120239,,1939858,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
PE-DEG-30:0,,1.76,,658.5120239,,1939858,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
PE-DEG-30:0,,2.15,,636.5303955,,1939858,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
PE-DEG-30:0,,2.15,,636.5303955,,1939858,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
PE-DEG-30:0,,1.81,,653.5588379,,1939858,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
PE-DEG-30:0,,1.81,,653.5588379,,1939858,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
PE-DEG-24:3,,6.77,,563.4182129,,1608665,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
PE-DEG-24:3,,6.77,,563.4182129,,1608665,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
PE-DEG-24:3,,11.47,,546.3914185,,1608665,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
PE-DEG-24:3,,10.63,,568.3740845,,1608665,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
PE-DEG-24:3,,11.47,,546.3914185,,1608665,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
PE-DEG-24:3,,10.63,,568.3740845,,1608665,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
MGDG-30:1,,3.4,,718.5447388,,9578851560,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-30:1,,3.4,,718.5447388,,9578851560,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-30:1,,3.4,,718.5447388,,9578851560,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-30:1,,3.4,,718.5447388,,9578851560,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
MGDG-30:1,,3.4,,718.5447388,,9578851560,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
MGDG-30:1,,3.4,,718.5447388,,9578851560,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
MGDG-30:1,,3.4,,718.5447388,,9578851560,Linear,0.000, ,N/A,ng,N/A,ng,,,,7
MGDG-30:1,,3.4,,701.5182495,,9578851560,Linear,0.000, ,N/A,ng,N/A,ng,,,,8
MGDG-30:1,,3.39,,723.4987793,,9578851560,Linear,0.000, ,N/A,ng,N/A,ng,,,,9
MGDG-30:1,,3.4,,701.5182495,,9578851560,Linear,0.000, ,N/A,ng,N/A,ng,,,,10
MGDG-30:1,,3.39,,723.4987793,,9578851560,Linear,0.000, ,N/A,ng,N/A,ng,,,,11
MGDG-30:1,,3.4,,701.5182495,,9578851560,Linear,0.000, ,N/A,ng,N/A,ng,,,,12
MGDG-30:1,,3.39,,723.4987793,,9578851560,Linear,0.000, ,N/A,ng,N/A,ng,,,,13
MGDG-30:1,,3.4,,701.5182495,,9578851560,Linear,0.000, ,N/A,ng,N/A,ng,,,,14
MGDG-30:1,,3.39,,723.4987793,,9578851560,Linear,0.000, ,N/A,ng,N/A,ng,,,,15
MGDG-30:1,,3.4,,701.5182495,,9578851560,Linear,0.000, ,N/A,ng,N/A,ng,,,,16
MGDG-30:1,,3.39,,723.4987793,,9578851560,Linear,0.000, ,N/A,ng,N/A,ng,,,,17
MGDG-30:1,,3.4,,701.5182495,,9578851560,Linear,0.000, ,N/A,ng,N/A,ng,,,,18
MGDG-30:1,,3.39,,723.4987793,,9578851560,Linear,0.000, ,N/A,ng,N/A,ng,,,,19
MGDG-30:1,,3.4,,701.5182495,,9578851560,Linear,0.000, ,N/A,ng,N/A,ng,,,,20
MGDG-30:1,,3.39,,723.4987793,,9578851560,Linear,0.000, ,N/A,ng,N/A,ng,,,,21
MGDG-28:0,,3.52,,692.5287476,,925355225,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-28:0,,3.52,,692.5287476,,925355225,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
