Compound,,RT,,Quan Peak,,Response,Curve Type,"Average RF/
Response Ratio",,"Injected
Conc",Units,"Calculated
Conc",Units,Flags,,Manual Flag,Peak Index
MGDG-36:5,,2.6,,777.5532837,,6363,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:5,,N/F,,N/F,,6363,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-36:5,,N/F,,N/F,,6363,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG,,3.23,,775.5391846,,14956,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG,,N/F,,N/F,,14956,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG,,N/F,,N/F,,14956,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-34:1,,3.22,,772.5936279,,2766348,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-34:1,,N/F,,N/F,,2766348,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-34:1,,N/F,,N/F,,2766348,Linear,0.000, ,N/F,,N/F,,,,,3
Gly-GDGT-0,,3.28,,1480.391846,,3619,Linear,0.000, ,N/A,,N/A,,,,,2
Gly-GDGT-0,,N/F,,N/F,,3619,Linear,0.000, ,N/F,,N/F,,,,,1
Gly-GDGT-0,,N/F,,N/F,,3619,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-30:1,,3.38,,718.5439453,,728052128,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-30:1,,3.36,,723.4984131,,728052128,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-30:1,,3.39,,701.5175781,,728052128,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-36:10,,3.35,,784.4970703,,901563,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:10,,3.45,,789.4572144,,901563,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-36:10,,N/F,,N/F,,901563,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-28:0,,3.5,,692.5282593,,107021583,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-28:0,,3.51,,697.4854126,,107021583,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-28:0,,3.49,,675.5018311,,107021583,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-34:5,,3.54,,747.5041504,,16208,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-34:5,,N/F,,N/F,,16208,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-34:5,,N/F,,N/F,,16208,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-36:4,,3.45,,779.5674438,,19858,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:4,,3.58,,801.5505981,,19858,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-36:4,,N/F,,N/F,,19858,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-32:1,,3.49,,749.5203247,,61832,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-32:1,,N/F,,N/F,,61832,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-32:1,,N/F,,N/F,,61832,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-36:2,,3.58,,800.6229248,,2429425,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:2,,3.59,,805.5804443,,2429425,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:2,,N/F,,N/F,,2429425,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-37:3,,3.56,,814.6367798,,509911,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-37:3,,N/F,,N/F,,509911,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-37:3,,N/F,,N/F,,509911,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-32:2,,3.54,,747.5041504,,13685,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-32:2,,N/F,,N/F,,13685,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-32:2,,N/F,,N/F,,13685,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-33:0,,3.7,,760.5924683,,574704,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-33:0,,N/F,,N/F,,574704,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-33:0,,N/F,,N/F,,574704,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-31:0,,3.56,,734.5748291,,4237,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-31:0,,N/F,,N/F,,4237,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-31:0,,N/F,,N/F,,4237,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-30:3,,3.76,,719.4718018,,2401,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-30:3,,N/F,,N/F,,2401,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-30:3,,N/F,,N/F,,2401,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-30:0,,3.86,,720.5617676,,47570543,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-30:0,,3.85,,725.5170288,,47570543,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-30:0,,3.88,,703.5389404,,47570543,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-40:1,,7.58,,822.7165527,,11101460,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-40:1,,7.56,,839.7462158,,11101460,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-40:1,,N/F,,N/F,,11101460,Linear,0.000, ,N/F,,N/F,,,,,3
DGTS-36:2,,7.62,,784.609375,,173736,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-36:2,,N/F,,N/F,,173736,Linear,0.000, ,N/F,,N/F,,,,,2
DGTS-36:2,,N/F,,N/F,,173736,Linear,0.000, ,N/F,,N/F,,,,,3
1-GLC-CER,,7.62,,728.6008301,,5469,Linear,0.000, ,N/A,,N/A,,,,,1
1-GLC-CER,,7.54,,750.5878296,,5469,Linear,0.000, ,N/A,,N/A,,,,,3
1-GLC-CER,,N/F,,N/F,,5469,Linear,0.000, ,N/F,,N/F,,,,,2
DGTS-36:4,,7.64,,758.5919189,,964677,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-36:4,,7.64,,780.5766602,,964677,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-36:4,,N/F,,N/F,,964677,Linear,0.000, ,N/F,,N/F,,,,,3
DGTS-38:0,,7.59,,786.62323,,59461,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-38:0,,N/F,,N/F,,59461,Linear,0.000, ,N/F,,N/F,,,,,2
DGTS-38:0,,N/F,,N/F,,59461,Linear,0.000, ,N/F,,N/F,,,,,3
DGTS-38:0,,N/F,,N/F,,59461,Linear,0.000, ,N/F,,N/F,,,,,4
DGTS-38:0,,N/F,,N/F,,59461,Linear,0.000, ,N/F,,N/F,,,,,5
DGTS-38:0,,N/F,,N/F,,59461,Linear,0.000, ,N/F,,N/F,,,,,6
DGTS-33:1,,7.68,,746.5925293,,57142,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-33:1,,N/F,,N/F,,57142,Linear,0.000, ,N/F,,N/F,,,,,2
DGTS-33:1,,N/F,,N/F,,57142,Linear,0.000, ,N/F,,N/F,,,,,3
DGTS-34:2,,7.7,,736.607666,,18260920,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-34:2,,7.7,,736.607666,,18260920,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-34:2,,7.64,,758.5919189,,18260920,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-34:2,,N/F,,N/F,,18260920,Linear,0.000, ,N/F,,N/F,,,,,4
DGTS-34:2,,N/F,,N/F,,18260920,Linear,0.000, ,N/F,,N/F,,,,,5
DGTS-34:2,,N/F,,N/F,,18260920,Linear,0.000, ,N/F,,N/F,,,,,6
DGTS-32:1,,7.75,,710.5921631,,19804207,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-32:1,,7.69,,732.5762939,,19804207,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-32:1,,N/F,,N/F,,19804207,Linear,0.000, ,N/F,,N/F,,,,,3
DGTS-36:6,,7.69,,754.5609741,,453991,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-36:6,,N/F,,N/F,,453991,Linear,0.000, ,N/F,,N/F,,,,,2
DGTS-36:6,,N/F,,N/F,,453991,Linear,0.000, ,N/F,,N/F,,,,,3
DGTS,,7.76,,712.6063843,,12924121,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS,,7.71,,734.5919189,,12924121,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS,,7.74,,729.6344604,,12924121,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-34:4,,7.69,,732.5762939,,2259266,Linear,0.000, ,N/A,,N/A,,,,,1
