Compound,,RT,,Quan Peak,,Response,Curve Type,"Average RF/
Response Ratio",,"Injected
Conc",Units,"Calculated
Conc",Units,Flags,,Manual Flag,Peak Index
MGDG-36:5,,2.68,,777.5488281,,1016,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:5,,2.63,,799.5358887,,1016,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-36:5,,N/F,,N/F,,1016,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-19:2,,2.75,,549.3640137,,1766,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-19:2,,2.84,,571.3469849,,1766,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-19:2,,3.06,,571.3440552,,1766,Linear,0.000, ,N/A,,N/A,,,,,6
MGDG-19:2,,N/F,,N/F,,1766,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-19:2,,N/F,,N/F,,1766,Linear,0.000, ,N/F,,N/F,,,,,4
MGDG-19:2,,N/F,,N/F,,1766,Linear,0.000, ,N/F,,N/F,,,,,5
MGDG,,3.23,,792.5634766,,658,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG,,N/F,,N/F,,658,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG,,N/F,,N/F,,658,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-30:1,,3.37,,718.5480347,,834119,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-30:1,,3.38,,723.5036621,,834119,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-30:1,,3.36,,701.5215454,,834119,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-36:10,,3.33,,767.4719238,,448,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:10,,N/F,,N/F,,448,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-36:10,,N/F,,N/F,,448,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-28:0,,3.47,,692.5319824,,766510,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-28:0,,3.47,,697.4868774,,766510,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-28:0,,N/F,,N/F,,766510,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-34:5,,3.47,,747.5076294,,3584,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-34:5,,N/F,,N/F,,3584,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-34:5,,N/F,,N/F,,3584,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-32:1,,3.46,,749.5188599,,536,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-32:1,,N/F,,N/F,,536,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-32:1,,N/F,,N/F,,536,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-32:2,,3.54,,747.5047607,,1032,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-32:2,,N/F,,N/F,,1032,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-32:2,,N/F,,N/F,,1032,Linear,0.000, ,N/F,,N/F,,,,,2
