Compound,,RT,,Quan Peak,,Response,Curve Type,"Average RF/
Response Ratio",,"Injected
Conc",Units,"Calculated
Conc",Units,Flags,,Manual Flag,Peak Index
ARCHAEOL,,1.31,,653.6832886,,605,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
ARCHAEOL,,N/F,,N/F,,605,Linear,0.000, ,N/F,ng,N/F,ng,,,,2
ARCHAEOL,,N/F,,N/F,,605,Linear,0.000, ,N/F,ng,N/F,ng,,,,3
MGDG-36:5,,2.8,,777.5472412,,5495,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:5,,2.24,,794.5791626,,5495,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:5,,N/F,,N/F,,5495,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-19:2,,2.67,,571.3468018,,1384,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-19:2,,3.46,,549.3659668,,1384,Linear,0.000, ,N/A,,N/A,,,,,4
MGDG-19:2,,2.67,,571.3468018,,1384,Linear,0.000, ,N/A,,N/A,,,,,6
MGDG-19:2,,N/F,,N/F,,1384,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-19:2,,N/F,,N/F,,1384,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-19:2,,N/F,,N/F,,1384,Linear,0.000, ,N/F,,N/F,,,,,5
MGDG,,3.04,,792.5635986,,979,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG,,N/F,,N/F,,979,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG,,N/F,,N/F,,979,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-34:1,,3.79,,772.5967407,,33984,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-34:1,,2.8,,777.5472412,,33984,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-34:1,,N/F,,N/F,,33984,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-36:8,,3.81,,771.5059204,,6515,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:8,,3.58,,793.486145,,6515,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-36:8,,N/F,,N/F,,6515,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-30:1,,3.42,,718.546936,,63459,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-30:1,,3.08,,723.4989014,,63459,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-30:1,,3.56,,701.5230713,,63459,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-36:10,,3.86,,784.4956665,,2069,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:10,,3.19,,767.4694824,,2069,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:10,,N/F,,N/F,,2069,Linear,0.000, ,N/F,,N/F,,,,,3
Gly-GDGT-2,,3.87,,1459.33252,,443,Linear,0.000, ,N/A,,N/A,,,,,1
Gly-GDGT-2,,N/F,,N/F,,443,Linear,0.000, ,N/F,,N/F,,,,,2
Gly-GDGT-2,,N/F,,N/F,,443,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-28:0,,3.54,,692.5306396,,1034517,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-28:0,,3.55,,697.4869995,,1034517,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-28:0,,3.54,,675.5031738,,1034517,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-34:5,,3.99,,747.5067749,,1775,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-34:5,,3.3,,764.5316772,,1775,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-34:5,,N/F,,N/F,,1775,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-36:4,,3.09,,796.5925903,,5446,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:4,,3.39,,801.5498657,,5446,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-36:4,,N/F,,N/F,,5446,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-32:1,,3.74,,749.515625,,2252,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-32:1,,3.82,,727.5336914,,2252,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-32:1,,N/F,,N/F,,2252,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-36:2,,3.76,,800.6228638,,3309,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:2,,3.13,,805.5769653,,3309,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:2,,N/F,,N/F,,3309,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-37:3,,3.94,,814.6405029,,4481,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-37:3,,3.55,,819.5957642,,4481,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-37:3,,N/F,,N/F,,4481,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-32:2,,4.09,,742.5442505,,580,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-32:2,,N/F,,N/F,,580,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-32:2,,N/F,,N/F,,580,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-33:0,,3.79,,760.5947876,,70848,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-33:0,,N/F,,N/F,,70848,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-33:0,,N/F,,N/F,,70848,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-31:0,,4.07,,717.5543213,,261837,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-31:0,,3.37,,734.5788574,,261837,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-31:0,,N/F,,N/F,,261837,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-32:0,,3.86,,746.5793457,,24956,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-32:0,,3.71,,751.5303955,,24956,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-32:0,,N/F,,N/F,,24956,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-31:1,,4.13,,715.5389404,,3646,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-31:1,,3.45,,732.5622559,,3646,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-31:1,,3.86,,737.5170288,,3646,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-36:0,,3.53,,804.6550293,,5760,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:0,,N/F,,N/F,,5760,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-36:0,,N/F,,N/F,,5760,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-28:1,,4.1,,673.4885254,,4424,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-28:1,,3.66,,695.4728394,,4424,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-28:1,,N/F,,N/F,,4424,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-30:2,,3.39,,699.5053101,,1292,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-30:2,,N/F,,N/F,,1292,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-30:2,,N/F,,N/F,,1292,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-30:3,,4.21,,714.5148926,,906,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-30:3,,3.25,,719.472168,,906,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-30:3,,N/F,,N/F,,906,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-30:0,,3.42,,720.5623779,,657425,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-30:0,,3.36,,703.5373535,,657425,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-30:0,,N/F,,N/F,,657425,Linear,0.000, ,N/F,,N/F,,,,,2
Gly-Cer-22:2,,5.57,,586.4342041,,12711,Linear,0.000, ,N/A,,N/A,,,,,1
Gly-Cer-22:2,,6.42,,603.4608154,,12711,Linear,0.000, ,N/A,,N/A,,,,,2
Gly-Cer-22:2,,N/F,,N/F,,12711,Linear,0.000, ,N/F,,N/F,,,,,3
Gly-Cer-25:6,,7.91,,609.4096069,,19506,Linear,0.000, ,N/A,,N/A,,,,,2
Gly-Cer-25:6,,N/F,,N/F,,19506,Linear,0.000, ,N/F,,N/F,,,,,1
Gly-Cer-25:6,,N/F,,N/F,,19506,Linear,0.000, ,N/F,,N/F,,,,,3
1-GLC-CER,,7.67,,728.5998535,,1632,Linear,0.000, ,N/A,,N/A,,,,,1
1-GLC-CER,,7.85,,750.5889282,,1632,Linear,0.000, ,N/A,,N/A,,,,,3
1-GLC-CER,,N/F,,N/F,,1632,Linear,0.000, ,N/F,,N/F,,,,,2
DGTS-33:1,,7.88,,746.5914307,,68141,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-33:1,,7.73,,724.605835,,68141,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-33:1,,N/F,,N/F,,68141,Linear,0.000, ,N/F,,N/F,,,,,3
DGTS-34:2,,7.73,,736.6082764,,47260,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-34:2,,7.73,,736.6082764,,47260,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-34:2,,N/F,,N/F,,47260,Linear,0.000, ,N/F,,N/F,,,,,3
