Compound,,RT,,Quan Peak,,Response,Curve Type,"Average RF/
Response Ratio",,"Injected
Conc",Units,"Calculated
Conc",Units,Flags,,Manual Flag,Peak Index
ARCHAEOL,,0.87,,653.678894,,1256,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
ARCHAEOL,,N/F,,N/F,,1256,Linear,0.000, ,N/F,ng,N/F,ng,,,,2
ARCHAEOL,,N/F,,N/F,,1256,Linear,0.000, ,N/F,ng,N/F,ng,,,,3
MGDG-19:2,,2.91,,571.3474121,,2641,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-19:2,,3.06,,571.3451538,,2641,Linear,0.000, ,N/A,,N/A,,,,,6
MGDG-19:2,,N/F,,N/F,,2641,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-19:2,,N/F,,N/F,,2641,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-19:2,,N/F,,N/F,,2641,Linear,0.000, ,N/F,,N/F,,,,,4
MGDG-19:2,,N/F,,N/F,,2641,Linear,0.000, ,N/F,,N/F,,,,,5
MGDG,,3.17,,792.5654297,,24613,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG,,N/F,,N/F,,24613,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG,,N/F,,N/F,,24613,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-34:1,,3.24,,772.5963745,,465485,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-34:1,,3.23,,777.5481567,,465485,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-34:1,,N/F,,N/F,,465485,Linear,0.000, ,N/F,,N/F,,,,,2
Gly-GDGT-0,,3.3,,1480.39978,,12228,Linear,0.000, ,N/A,,N/A,,,,,2
Gly-GDGT-0,,N/F,,N/F,,12228,Linear,0.000, ,N/F,,N/F,,,,,1
Gly-GDGT-0,,N/F,,N/F,,12228,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-36:9,,3.33,,786.5162354,,100419,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:9,,N/F,,N/F,,100419,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-36:9,,N/F,,N/F,,100419,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-30:1,,3.41,,718.5466919,,19233218,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-30:1,,3.41,,723.5024414,,19233218,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-30:1,,3.4,,701.520874,,19233218,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-36:10,,3.38,,784.5002441,,55546,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:10,,N/F,,N/F,,55546,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-36:10,,N/F,,N/F,,55546,Linear,0.000, ,N/F,,N/F,,,,,3
Gly-GDGT-1,,3.45,,1478.378418,,3153,Linear,0.000, ,N/A,,N/A,,,,,2
Gly-GDGT-1,,N/F,,N/F,,3153,Linear,0.000, ,N/F,,N/F,,,,,1
Gly-GDGT-1,,N/F,,N/F,,3153,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-28:0,,3.52,,692.5318604,,4472103,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-28:0,,3.53,,697.4874268,,4472103,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-28:0,,3.52,,675.5037842,,4472103,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-34:5,,3.55,,747.5072021,,3353,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-34:5,,3.45,,764.5291138,,3353,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-34:5,,N/F,,N/F,,3353,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-36:4,,3.46,,779.5657959,,16548,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:4,,3.57,,796.5916748,,16548,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:4,,N/F,,N/F,,16548,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-32:1,,3.6,,727.5345459,,103727,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-32:1,,N/F,,N/F,,103727,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-32:1,,N/F,,N/F,,103727,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-32:2,,3.54,,725.5170288,,2094,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-32:2,,3.53,,747.5053711,,2094,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-32:2,,N/F,,N/F,,2094,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-31:1,,3.62,,732.5616455,,4717,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-31:1,,N/F,,N/F,,4717,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-31:1,,N/F,,N/F,,4717,Linear,0.000, ,N/F,,N/F,,,,,3
Gly-dGly-DAG-13:2,,6.86,,607.2946167,,790,Linear,0.000, ,N/A,,N/A,,,,,1
Gly-dGly-DAG-13:2,,N/F,,N/F,,790,Linear,0.000, ,N/F,,N/F,,,,,2
Gly-dGly-DAG-13:2,,N/F,,N/F,,790,Linear,0.000, ,N/F,,N/F,,,,,3
DGTS-40:1,,7.57,,822.7217407,,20392,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-40:1,,N/F,,N/F,,20392,Linear,0.000, ,N/F,,N/F,,,,,2
DGTS-40:1,,N/F,,N/F,,20392,Linear,0.000, ,N/F,,N/F,,,,,3
DGTS-36:2,,7.57,,784.6098633,,246042,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-36:2,,7.63,,762.6253052,,246042,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-36:2,,N/F,,N/F,,246042,Linear,0.000, ,N/F,,N/F,,,,,3
1-GLC-CER,,7.62,,728.6035156,,57720,Linear,0.000, ,N/A,,N/A,,,,,1
1-GLC-CER,,N/F,,N/F,,57720,Linear,0.000, ,N/F,,N/F,,,,,2
1-GLC-CER,,N/F,,N/F,,57720,Linear,0.000, ,N/F,,N/F,,,,,3
DGTS-36:4,,7.63,,758.5955811,,35605,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-36:4,,7.6,,780.5745239,,35605,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-36:4,,N/F,,N/F,,35605,Linear,0.000, ,N/F,,N/F,,,,,3
DGTS-33:1,,7.69,,746.5906372,,5736139,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-33:1,,7.71,,724.6081543,,5736139,Linear,0.000, ,N/A,,N/A,,,,,2
