Compound,,RT,,Quan Peak,,Response,Curve Type,"Average RF/
Response Ratio",,"Injected
Conc",Units,"Calculated
Conc",Units,Flags,,Manual Flag,Peak Index
ARCHAEOL,,0.94,,653.6799927,,24310,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
ARCHAEOL,,N/F,,N/F,,24310,Linear,0.000, ,N/F,ng,N/F,ng,,,,2
ARCHAEOL,,N/F,,N/F,,24310,Linear,0.000, ,N/F,ng,N/F,ng,,,,3
MGDG-36:5,,2.6,,777.5488892,,36241,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:5,,N/F,,N/F,,36241,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-36:5,,N/F,,N/F,,36241,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-19:2,,2.88,,566.387146,,538,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-19:2,,N/F,,N/F,,538,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-19:2,,N/F,,N/F,,538,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-19:2,,N/F,,N/F,,538,Linear,0.000, ,N/F,,N/F,,,,,4
MGDG-19:2,,N/F,,N/F,,538,Linear,0.000, ,N/F,,N/F,,,,,5
MGDG-19:2,,N/F,,N/F,,538,Linear,0.000, ,N/F,,N/F,,,,,6
MGDG,,3.27,,792.5634766,,1783,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG,,N/F,,N/F,,1783,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG,,N/F,,N/F,,1783,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-34:1,,3.29,,772.5939941,,22925,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-34:1,,3.37,,777.545105,,22925,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-34:1,,N/F,,N/F,,22925,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-36:8,,3.41,,788.5328369,,1832,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:8,,N/F,,N/F,,1832,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-36:8,,N/F,,N/F,,1832,Linear,0.000, ,N/F,,N/F,,,,,3
Gly-GDGT-0,,3.31,,1480.394775,,7641,Linear,0.000, ,N/A,,N/A,,,,,2
Gly-GDGT-0,,N/F,,N/F,,7641,Linear,0.000, ,N/F,,N/F,,,,,1
Gly-GDGT-0,,N/F,,N/F,,7641,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-30:1,,3.42,,718.5462646,,5748225,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-30:1,,3.42,,723.5012207,,5748225,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-30:1,,3.43,,701.5189209,,5748225,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-28:0,,3.53,,692.5302734,,3817879,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-28:0,,3.53,,697.4873047,,3817879,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-28:0,,3.54,,675.5055542,,3817879,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-34:5,,3.57,,747.5077515,,4583,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-34:5,,N/F,,N/F,,4583,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-34:5,,N/F,,N/F,,4583,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-36:4,,3.58,,779.5658569,,2880,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:4,,3.59,,796.5911865,,2880,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:4,,N/F,,N/F,,2880,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-32:1,,3.45,,749.5157471,,9039,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-32:1,,3.58,,727.5369873,,9039,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-32:1,,N/F,,N/F,,9039,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-36:2,,3.49,,805.5774536,,2273,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:2,,N/F,,N/F,,2273,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-36:2,,N/F,,N/F,,2273,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-37:3,,3.52,,819.5991211,,3933,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-37:3,,N/F,,N/F,,3933,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-37:3,,N/F,,N/F,,3933,Linear,0.000, ,N/F,,N/F,,,,,2
HPH-GDGT-5,,3.6,,1695.309082,,1053,Linear,0.000, ,N/A,,N/A,,,,,1
HPH-GDGT-5,,N/F,,N/F,,1053,Linear,0.000, ,N/F,,N/F,,,,,2
HPH-GDGT-5,,N/F,,N/F,,1053,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-31:0,,3.61,,739.5296021,,1568,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-31:0,,N/F,,N/F,,1568,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-31:0,,N/F,,N/F,,1568,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-32:0,,3.67,,729.5510254,,3257,Linear,0.000, ,N/A,,N/A,,,,,1
