Compound,,RT,,Quan Peak,,Response,Curve Type,"Average RF/
Response Ratio",,"Injected
Conc",Units,"Calculated
Conc",Units,Flags,,Manual Flag,Peak Index
MGDG-36:5,,2.57,,777.5498047,,1426,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:5,,N/F,,N/F,,1426,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-36:5,,N/F,,N/F,,1426,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-19:2,,2.97,,571.3440552,,540,Linear,0.000, ,N/A,,N/A,,,,,6
MGDG-19:2,,N/F,,N/F,,540,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-19:2,,N/F,,N/F,,540,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-19:2,,N/F,,N/F,,540,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-19:2,,N/F,,N/F,,540,Linear,0.000, ,N/F,,N/F,,,,,4
MGDG-19:2,,N/F,,N/F,,540,Linear,0.000, ,N/F,,N/F,,,,,5
MGDG,,3.19,,775.5375977,,762,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG,,N/F,,N/F,,762,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG,,N/F,,N/F,,762,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-34:1,,3.23,,772.5957031,,210698,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-34:1,,N/F,,N/F,,210698,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-34:1,,N/F,,N/F,,210698,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-36:8,,3.28,,771.5066528,,1017,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:8,,N/F,,N/F,,1017,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-36:8,,N/F,,N/F,,1017,Linear,0.000, ,N/F,,N/F,,,,,3
Gly-GDGT-0,,3.35,,1480.392334,,23426,Linear,0.000, ,N/A,,N/A,,,,,2
Gly-GDGT-0,,N/F,,N/F,,23426,Linear,0.000, ,N/F,,N/F,,,,,1
Gly-GDGT-0,,N/F,,N/F,,23426,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-30:1,,3.38,,718.5455933,,56256264,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-30:1,,3.39,,723.5,,56256264,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-30:1,,3.39,,701.5186157,,56256264,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-36:10,,3.37,,784.4995117,,15070,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:10,,3.47,,789.4574585,,15070,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-36:10,,N/F,,N/F,,15070,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-28:0,,3.48,,692.52948,,33367094,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-28:0,,3.48,,697.4848022,,33367094,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-28:0,,3.48,,675.5029297,,33367094,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-34:5,,3.45,,747.5058594,,1434,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-34:5,,N/F,,N/F,,1434,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-34:5,,N/F,,N/F,,1434,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-36:4,,3.48,,779.569397,,4136,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:4,,3.54,,801.5499268,,4136,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-36:4,,N/F,,N/F,,4136,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-36:2,,3.56,,800.6240234,,268295,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:2,,3.56,,805.5808105,,268295,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:2,,N/F,,N/F,,268295,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-37:3,,3.55,,814.6390381,,101848,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-37:3,,3.58,,819.5977173,,101848,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-37:3,,N/F,,N/F,,101848,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-32:2,,3.64,,742.5453491,,651,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-32:2,,N/F,,N/F,,651,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-32:2,,N/F,,N/F,,651,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-33:0,,3.68,,760.5933838,,68448,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-33:0,,N/F,,N/F,,68448,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-33:0,,N/F,,N/F,,68448,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-32:0,,3.61,,751.5328979,,1322,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-32:0,,N/F,,N/F,,1322,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-32:0,,N/F,,N/F,,1322,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-36:0,,3.69,,809.6139526,,416,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-36:0,,N/F,,N/F,,416,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-36:0,,N/F,,N/F,,416,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-28:1,,3.65,,673.487854,,607,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-28:1,,N/F,,N/F,,607,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-28:1,,N/F,,N/F,,607,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-30:2,,3.7,,699.505249,,91861,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-30:2,,N/F,,N/F,,91861,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-30:2,,N/F,,N/F,,91861,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-30:0,,3.86,,725.5180664,,320979,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-30:0,,3.82,,703.5377197,,320979,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-30:0,,N/F,,N/F,,320979,Linear,0.000, ,N/F,,N/F,,,,,1
DGTS-40:1,,7.58,,822.7203369,,25224,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-40:1,,N/F,,N/F,,25224,Linear,0.000, ,N/F,,N/F,,,,,2
DGTS-40:1,,N/F,,N/F,,25224,Linear,0.000, ,N/F,,N/F,,,,,3
DGTS-33:1,,7.71,,724.6083984,,1462346,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-33:1,,N/F,,N/F,,1462346,Linear,0.000, ,N/F,,N/F,,,,,1
DGTS-33:1,,N/F,,N/F,,1462346,Linear,0.000, ,N/F,,N/F,,,,,3
DGTS-34:2,,7.69,,736.6090698,,772501,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-34:2,,7.69,,736.6090698,,772501,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-34:2,,N/F,,N/F,,772501,Linear,0.000, ,N/F,,N/F,,,,,3
DGTS-34:2,,N/F,,N/F,,772501,Linear,0.000, ,N/F,,N/F,,,,,4
DGTS-34:2,,N/F,,N/F,,772501,Linear,0.000, ,N/F,,N/F,,,,,5
DGTS-34:2,,N/F,,N/F,,772501,Linear,0.000, ,N/F,,N/F,,,,,6
