Compound,,RT,,Quan Peak,,Response,Curve Type,"Average RF/
Response Ratio",,"Injected
Conc",Units,"Calculated
Conc",Units,Flags,,Manual Flag,Peak Index
ARCHAEOL,,0.87,,653.6787109,,717,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
ARCHAEOL,,N/F,,N/F,,717,Linear,0.000, ,N/F,ng,N/F,ng,,,,2
ARCHAEOL,,N/F,,N/F,,717,Linear,0.000, ,N/F,ng,N/F,ng,,,,3
MGDG-19:2,,2.79,,571.3432007,,892,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-19:2,,N/F,,N/F,,892,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-19:2,,N/F,,N/F,,892,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-19:2,,N/F,,N/F,,892,Linear,0.000, ,N/F,,N/F,,,,,4
MGDG-19:2,,N/F,,N/F,,892,Linear,0.000, ,N/F,,N/F,,,,,5
MGDG-19:2,,N/F,,N/F,,892,Linear,0.000, ,N/F,,N/F,,,,,6
MGDG,,3.19,,792.5627441,,2719,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG,,N/F,,N/F,,2719,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG,,N/F,,N/F,,2719,Linear,0.000, ,N/F,,N/F,,,,,3
Gly-GDGT-0,,3.28,,1480.39502,,29959,Linear,0.000, ,N/A,,N/A,,,,,2
Gly-GDGT-0,,3.32,,1485.351318,,29959,Linear,0.000, ,N/A,,N/A,,,,,3
Gly-GDGT-0,,N/F,,N/F,,29959,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-30:1,,3.41,,718.5454712,,518522,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-30:1,,3.4,,723.4993896,,518522,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-30:1,,3.36,,701.5211792,,518522,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-36:10,,3.47,,789.456604,,20652,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-36:10,,N/F,,N/F,,20652,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-36:10,,N/F,,N/F,,20652,Linear,0.000, ,N/F,,N/F,,,,,2
Gly-GDGT-1,,3.39,,1478.378052,,11815,Linear,0.000, ,N/A,,N/A,,,,,2
Gly-GDGT-1,,N/F,,N/F,,11815,Linear,0.000, ,N/F,,N/F,,,,,1
Gly-GDGT-1,,N/F,,N/F,,11815,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-28:0,,3.49,,692.5289307,,11380705,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-28:0,,3.49,,697.4852905,,11380705,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-28:0,,3.49,,675.5038452,,11380705,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-34:5,,3.48,,747.5055542,,1601,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-34:5,,N/F,,N/F,,1601,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-34:5,,N/F,,N/F,,1601,Linear,0.000, ,N/F,,N/F,,,,,3
