Compound,,RT,,Quan Peak,,Response,Curve Type,"Average RF/
Response Ratio",,"Injected
Conc",Units,"Calculated
Conc",Units,Flags,,Manual Flag,Peak Index
ARCHAEOL,,0.74,,653.6830444,,717,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
ARCHAEOL,,N/F,,N/F,,717,Linear,0.000, ,N/F,ng,N/F,ng,,,,2
ARCHAEOL,,N/F,,N/F,,717,Linear,0.000, ,N/F,ng,N/F,ng,,,,3
MGDG,,3.19,,792.5596313,,977,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG,,N/F,,N/F,,977,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG,,N/F,,N/F,,977,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-36:8,,3.29,,788.5333252,,890,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:8,,N/F,,N/F,,890,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-36:8,,N/F,,N/F,,890,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-30:1,,3.39,,718.5437012,,401354991,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-30:1,,3.41,,723.4984741,,401354991,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-30:1,,3.39,,701.517334,,401354991,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-28:0,,3.49,,692.527771,,18073406,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-28:0,,3.48,,697.4837646,,18073406,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-28:0,,3.54,,675.501709,,18073406,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-34:5,,3.59,,747.5073242,,10550,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-34:5,,N/F,,N/F,,10550,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-34:5,,N/F,,N/F,,10550,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-32:1,,3.59,,749.5202026,,38446,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-32:1,,N/F,,N/F,,38446,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-32:1,,N/F,,N/F,,38446,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-37:3,,3.59,,814.6368408,,8123,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-37:3,,N/F,,N/F,,8123,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-37:3,,N/F,,N/F,,8123,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-32:2,,3.57,,747.505188,,4643,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-32:2,,N/F,,N/F,,4643,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-32:2,,N/F,,N/F,,4643,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-31:0,,3.56,,734.5747681,,3431,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-31:0,,N/F,,N/F,,3431,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-31:0,,N/F,,N/F,,3431,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-32:0,,3.59,,746.5741577,,82429,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-32:0,,3.6,,751.5355835,,82429,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-32:0,,N/F,,N/F,,82429,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-28:1,,3.69,,673.4855957,,14088,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-28:1,,N/F,,N/F,,14088,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-28:1,,N/F,,N/F,,14088,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-30:2,,3.71,,699.5028687,,527785,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-30:2,,3.75,,721.4874878,,527785,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-30:2,,N/F,,N/F,,527785,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-30:0,,3.85,,720.5598755,,2366265,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-30:0,,3.84,,725.5186157,,2366265,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-30:0,,N/F,,N/F,,2366265,Linear,0.000, ,N/F,,N/F,,,,,3
Gly-Cer-22:2,,5.91,,586.4318237,,968,Linear,0.000, ,N/A,,N/A,,,,,1
Gly-Cer-22:2,,N/F,,N/F,,968,Linear,0.000, ,N/F,,N/F,,,,,2
Gly-Cer-22:2,,N/F,,N/F,,968,Linear,0.000, ,N/F,,N/F,,,,,3
Gly-Cer-25:6,,7.51,,609.4129028,,405,Linear,0.000, ,N/A,,N/A,,,,,2
Gly-Cer-25:6,,N/F,,N/F,,405,Linear,0.000, ,N/F,,N/F,,,,,1
Gly-Cer-25:6,,N/F,,N/F,,405,Linear,0.000, ,N/F,,N/F,,,,,3
DGTS-40:1,,7.57,,822.7191772,,4030,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-40:1,,N/F,,N/F,,4030,Linear,0.000, ,N/F,,N/F,,,,,2
DGTS-40:1,,N/F,,N/F,,4030,Linear,0.000, ,N/F,,N/F,,,,,3
DGTS-36:2,,7.62,,762.625,,16982,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-36:2,,N/F,,N/F,,16982,Linear,0.000, ,N/F,,N/F,,,,,1
DGTS-36:2,,N/F,,N/F,,16982,Linear,0.000, ,N/F,,N/F,,,,,3
DGTS-33:1,,7.72,,724.6089478,,104375,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-33:1,,N/F,,N/F,,104375,Linear,0.000, ,N/F,,N/F,,,,,1
DGTS-33:1,,N/F,,N/F,,104375,Linear,0.000, ,N/F,,N/F,,,,,3
DGTS-34:2,,7.69,,736.609314,,132320,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-34:2,,7.69,,736.609314,,132320,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-34:2,,N/F,,N/F,,132320,Linear,0.000, ,N/F,,N/F,,,,,3
DGTS-34:2,,N/F,,N/F,,132320,Linear,0.000, ,N/F,,N/F,,,,,4
DGTS-34:2,,N/F,,N/F,,132320,Linear,0.000, ,N/F,,N/F,,,,,5
DGTS-34:2,,N/F,,N/F,,132320,Linear,0.000, ,N/F,,N/F,,,,,6
DGTS-32:1,,7.75,,710.5941162,,368527,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-32:1,,N/F,,N/F,,368527,Linear,0.000, ,N/F,,N/F,,,,,2
DGTS-32:1,,N/F,,N/F,,368527,Linear,0.000, ,N/F,,N/F,,,,,3
DGTS-36:6,,7.75,,771.5852661,,552,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-36:6,,N/F,,N/F,,552,Linear,0.000, ,N/F,,N/F,,,,,1
DGTS-36:6,,N/F,,N/F,,552,Linear,0.000, ,N/F,,N/F,,,,,3
DGTS,,7.75,,712.609314,,288378,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS,,7.68,,734.5908813,,288378,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS,,7.75,,729.6323853,,288378,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-30:1,,7.8,,682.5613403,,1414521,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-30:1,,N/F,,N/F,,1414521,Linear,0.000, ,N/F,,N/F,,,,,2
DGTS-30:1,,N/F,,N/F,,1414521,Linear,0.000, ,N/F,,N/F,,,,,3
DGTS-36:5,,7.75,,773.6011353,,4776,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-36:5,,7.75,,773.6011353,,4776,Linear,0.000, ,N/A,,N/A,,,,,6
DGTS-36:5,,7.75,,773.6011353,,4776,Linear,0.000, ,N/A,,N/A,,,,,8
DGTS-36:5,,N/F,,N/F,,4776,Linear,0.000, ,N/F,,N/F,,,,,1
DGTS-36:5,,N/F,,N/F,,4776,Linear,0.000, ,N/F,,N/F,,,,,2
DGTS-36:5,,N/F,,N/F,,4776,Linear,0.000, ,N/F,,N/F,,,,,4
DGTS-36:5,,N/F,,N/F,,4776,Linear,0.000, ,N/F,,N/F,,,,,5
DGTS-36:5,,N/F,,N/F,,4776,Linear,0.000, ,N/F,,N/F,,,,,7
DGTS-36:5,,N/F,,N/F,,4776,Linear,0.000, ,N/F,,N/F,,,,,9
DGTS-31:0,,7.78,,698.5929565,,673052,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-31:0,,7.74,,715.618042,,673052,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-31:0,,N/F,,N/F,,673052,Linear,0.000, ,N/F,,N/F,,,,,3
DGTS-29:0,,7.84,,670.5608521,,8166865,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-29:0,,7.8,,687.5882568,,8166865,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-29:0,,7.84,,692.5437012,,8166865,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-34:1,,7.69,,738.6247559,,210402,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-34:1,,7.6,,760.609375,,210402,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-34:1,,N/F,,N/F,,210402,Linear,0.000, ,N/F,,N/F,,,,,3
DGTS-34:1,,N/F,,N/F,,210402,Linear,0.000, ,N/F,,N/F,,,,,4
DGTS-34:1,,N/F,,N/F,,210402,Linear,0.000, ,N/F,,N/F,,,,,5
DGTS-34:1,,N/F,,N/F,,210402,Linear,0.000, ,N/F,,N/F,,,,,6
DGTS-28:1,,7.84,,654.5299683,,645585,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-28:1,,7.74,,676.5122681,,645585,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-28:1,,N/F,,N/F,,645585,Linear,0.000, ,N/F,,N/F,,,,,3
DGTS-30:0,,7.81,,684.5762329,,1871373,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-30:0,,7.76,,706.5618896,,1871373,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-30:0,,7.78,,701.6036377,,1871373,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-34:5,,7.74,,752.5403442,,927,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-34:5,,N/F,,N/F,,927,Linear,0.000, ,N/F,,N/F,,,,,1
DGTS-34:5,,N/F,,N/F,,927,Linear,0.000, ,N/F,,N/F,,,,,2
DGTS-28:0,,7.86,,656.5454102,,10249209,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-28:0,,7.83,,673.5699463,,10249209,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-28:0,,7.85,,678.5283813,,10249209,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-32:0,,7.94,,712.6069336,,1856,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-32:0,,N/F,,N/F,,1856,Linear,0.000, ,N/F,,N/F,,,,,2
DGTS-32:0,,N/F,,N/F,,1856,Linear,0.000, ,N/F,,N/F,,,,,3
DGTS-26:2,,7.81,,641.5105591,,9250,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-26:2,,7.81,,646.4656372,,9250,Linear,0.000, ,N/A,,N/A,,,,,3
DGTS-26:2,,N/F,,N/F,,9250,Linear,0.000, ,N/F,,N/F,,,,,1
DGTS-32:2,,7.95,,708.5789185,,646,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-32:2,,N/F,,N/F,,646,Linear,0.000, ,N/F,,N/F,,,,,2
DGTS-32:2,,N/F,,N/F,,646,Linear,0.000, ,N/F,,N/F,,,,,3
DGTS-27:0,,7.89,,642.5305176,,1176699,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-27:0,,7.86,,659.5541992,,1176699,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-27:0,,N/F,,N/F,,1176699,Linear,0.000, ,N/F,,N/F,,,,,3
DGTS-26:0,,7.93,,628.5148315,,583106,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-26:0,,N/F,,N/F,,583106,Linear,0.000, ,N/F,,N/F,,,,,2
DGTS-26:0,,N/F,,N/F,,583106,Linear,0.000, ,N/F,,N/F,,,,,3
DGTS-32:4,,8.07,,721.5738525,,641,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-32:4,,N/F,,N/F,,641,Linear,0.000, ,N/F,,N/F,,,,,1
DGTS-32:4,,N/F,,N/F,,641,Linear,0.000, ,N/F,,N/F,,,,,3
PG-DAG-26:0,,8.13,,639.4200439,,3629,Linear,0.000, ,N/A,,N/A,,,,,1
PG-DAG-26:0,,8.05,,656.4522095,,3629,Linear,0.000, ,N/A,,N/A,,,,,2
PG-DAG-26:0,,N/F,,N/F,,3629,Linear,0.000, ,N/F,,N/F,,,,,3
DGTS-31:1,,8.14,,696.5750122,,1119,Linear,0.000, ,N/A,,N/A,,,,,1
DGTS-31:1,,8.19,,713.6044922,,1119,Linear,0.000, ,N/A,,N/A,,,,,2
DGTS-31:1,,N/F,,N/F,,1119,Linear,0.000, ,N/F,,N/F,,,,,3
PDME-DAG-35:1,,8.29,,760.5822754,,548,Linear,0.000, ,N/A,,N/A,,,,,1
PDME-DAG-35:1,,N/F,,N/F,,548,Linear,0.000, ,N/F,,N/F,,,,,2
PDME-DAG-35:1,,N/F,,N/F,,548,Linear,0.000, ,N/F,,N/F,,,,,3
C16PDME,,8.4,,720.5524902,,15262,Linear,0.000, ,N/A,,N/A,,,,,1
C16PDME,,8.31,,742.5375366,,15262,Linear,0.000, ,N/A,,N/A,,,,,3
C16PDME,,N/F,,N/F,,15262,Linear,0.000, ,N/F,,N/F,,,,,2
PDME-DAG-30:0,,8.46,,692.5220337,,125034,Linear,0.000, ,N/A,,N/A,,,,,1
PDME-DAG-30:0,,8.41,,714.501709,,125034,Linear,0.000, ,N/A,,N/A,,,,,3
PDME-DAG-30:0,,N/F,,N/F,,125034,Linear,0.000, ,N/F,,N/F,,,,,2
DGTA-34:5,,9.56,,730.5645752,,5459,Linear,0.000, ,N/A,,N/A,,,,,1
DGTA-34:5,,9.46,,752.5430908,,5459,Linear,0.000, ,N/A,,N/A,,,,,3
DGTA-34:5,,N/F,,N/F,,5459,Linear,0.000, ,N/F,,N/F,,,,,2
DGTA-36:2,,9.56,,764.6390991,,296096,Linear,0.000, ,N/A,,N/A,,,,,2
DGTA-36:2,,9.58,,781.6690063,,296096,Linear,0.000, ,N/A,,N/A,,,,,3
DGTA-36:2,,N/F,,N/F,,296096,Linear,0.000, ,N/F,,N/F,,,,,1
DGTA-36:6,,9.45,,778.5618286,,516,Linear,0.000, ,N/A,,N/A,,,,,3
DGTA-36:6,,N/F,,N/F,,516,Linear,0.000, ,N/F,,N/F,,,,,1
DGTA-36:6,,N/F,,N/F,,516,Linear,0.000, ,N/F,,N/F,,,,,2
DGTA-42:11,,9.47,,852.5764771,,530,Linear,0.000, ,N/A,,N/A,,,,,3
DGTA-42:11,,N/F,,N/F,,530,Linear,0.000, ,N/F,,N/F,,,,,1
DGTA-42:11,,N/F,,N/F,,530,Linear,0.000, ,N/F,,N/F,,,,,2
DGTA-40:10,,9.61,,812.5544434,,8736,Linear,0.000, ,N/A,,N/A,,,,,1
DGTA-40:10,,N/F,,N/F,,8736,Linear,0.000, ,N/F,,N/F,,,,,2
DGTA-40:10,,N/F,,N/F,,8736,Linear,0.000, ,N/F,,N/F,,,,,3
DGTA-34:1,,9.63,,738.6224976,,197982,Linear,0.000, ,N/A,,N/A,,,,,2
DGTA-34:1,,N/F,,N/F,,197982,Linear,0.000, ,N/F,,N/F,,,,,1
DGTA-34:1,,N/F,,N/F,,197982,Linear,0.000, ,N/F,,N/F,,,,,3
PG-DAG-34:1,,9.55,,745.5021973,,13384,Linear,0.000, ,N/A,,N/A,,,,,1
PG-DAG-34:1,,N/F,,N/F,,13384,Linear,0.000, ,N/F,,N/F,,,,,2
PG-DAG-34:1,,N/F,,N/F,,13384,Linear,0.000, ,N/F,,N/F,,,,,3
PME-DAG-34:2,,9.63,,730.5367432,,34579,Linear,0.000, ,N/A,,N/A,,,,,1
PME-DAG-34:2,,9.63,,747.5681763,,34579,Linear,0.000, ,N/A,,N/A,,,,,2
PME-DAG-34:2,,N/F,,N/F,,34579,Linear,0.000, ,N/F,,N/F,,,,,3
