Compound,,RT,,Quan Peak,,Response,Curve Type,"Average RF/
Response Ratio",,"Injected
Conc",Units,"Calculated
Conc",Units,Flags,,Manual Flag,Peak Index
MGDG-36:5,,2.57,,794.5782471,,1150,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:5,,N/F,,N/F,,1150,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-36:5,,N/F,,N/F,,1150,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-19:2,,2.82,,566.3898315,,5514,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-19:2,,2.88,,571.3450928,,5514,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-19:2,,3.03,,571.3452148,,5514,Linear,0.000, ,N/A,,N/A,,,,,6
MGDG-19:2,,N/F,,N/F,,5514,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-19:2,,N/F,,N/F,,5514,Linear,0.000, ,N/F,,N/F,,,,,4
MGDG-19:2,,N/F,,N/F,,5514,Linear,0.000, ,N/F,,N/F,,,,,5
MGDG,,3.27,,775.5356445,,1864397,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG,,3.18,,792.5635376,,1864397,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG,,N/F,,N/F,,1864397,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-34:1,,3.22,,772.5949707,,1067910,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-34:1,,3.23,,777.5478516,,1067910,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-34:1,,N/F,,N/F,,1067910,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-36:8,,3.35,,793.484314,,4734,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-36:8,,N/F,,N/F,,4734,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-36:8,,N/F,,N/F,,4734,Linear,0.000, ,N/F,,N/F,,,,,2
Gly-GDGT-0,,3.31,,1480.391113,,7572,Linear,0.000, ,N/A,,N/A,,,,,2
Gly-GDGT-0,,N/F,,N/F,,7572,Linear,0.000, ,N/F,,N/F,,,,,1
Gly-GDGT-0,,N/F,,N/F,,7572,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-36:9,,3.3,,769.4891968,,383737,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:9,,3.3,,791.4708862,,383737,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-36:9,,N/F,,N/F,,383737,Linear,0.000, ,N/F,,N/F,,,,,2
