Compound,,RT,,Quan Peak,,Response,Curve Type,"Average RF/
Response Ratio",,"Injected
Conc",Units,"Calculated
Conc",Units,Flags,,Manual Flag,Peak Index
MGDG-36:5,,2.59,,777.5519409,,4346,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:5,,2.56,,794.5740967,,4346,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:5,,N/F,,N/F,,4346,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG,,3.28,,775.5343018,,21206,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG,,N/F,,N/F,,21206,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG,,N/F,,N/F,,21206,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-34:1,,3.23,,772.5933838,,13723933,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-34:1,,3.21,,755.564209,,13723933,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-34:1,,3.23,,777.5494995,,13723933,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-36:8,,3.28,,771.5005493,,157356,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:8,,3.39,,788.5324707,,157356,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:8,,3.27,,793.4885864,,157356,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-36:9,,3.31,,769.4848633,,4239620,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:9,,3.31,,786.5142822,,4239620,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:9,,3.3,,791.4692993,,4239620,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-30:1,,3.4,,718.5447388,,1364921907,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-30:1,,3.39,,723.4987793,,1364921907,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-30:1,,3.4,,701.5182495,,1364921907,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-36:10,,3.36,,784.4973145,,1030174,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:10,,3.33,,767.4718018,,1030174,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:10,,3.32,,789.4523926,,1030174,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-28:0,,3.52,,692.5287476,,154059029,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-28:0,,3.52,,697.4847412,,154059029,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-28:0,,3.52,,675.5029297,,154059029,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-34:5,,3.51,,747.5058594,,60660,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-34:5,,N/F,,N/F,,60660,Linear,0.000, ,N/F,,N/F,,,,,2
