Compound,,RT,,Quan Peak,,Response,Curve Type,"Average RF/
Response Ratio",,"Injected
Conc",Units,"Calculated
Conc",Units,Flags,,Manual Flag,Peak Index
MGDG-36:5,,2.57,,794.5738525,,4045,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:5,,N/F,,N/F,,4045,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-36:5,,N/F,,N/F,,4045,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-19:2,,2.79,,571.3431396,,16735,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-19:2,,3.12,,549.3613892,,16735,Linear,0.000, ,N/A,,N/A,,,,,4
MGDG-19:2,,N/F,,N/F,,16735,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-19:2,,N/F,,N/F,,16735,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-19:2,,N/F,,N/F,,16735,Linear,0.000, ,N/F,,N/F,,,,,5
MGDG-19:2,,N/F,,N/F,,16735,Linear,0.000, ,N/F,,N/F,,,,,6
MGDG,,3.2,,775.5384521,,70748,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG,,N/F,,N/F,,70748,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG,,N/F,,N/F,,70748,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-36:8,,3.27,,771.5003662,,6758901,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:8,,3.3,,788.5282593,,6758901,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:8,,N/F,,N/F,,6758901,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-36:9,,3.3,,786.5136108,,10372914,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:9,,N/F,,N/F,,10372914,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-36:9,,N/F,,N/F,,10372914,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-30:1,,3.38,,718.5449829,,507179638,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-30:1,,3.4,,723.4993286,,507179638,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-30:1,,3.39,,701.5184326,,507179638,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-36:10,,3.35,,784.4968262,,13320918,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:10,,3.34,,789.4533081,,13320918,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-36:10,,N/F,,N/F,,13320918,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-28:0,,3.54,,692.5302734,,61831328,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-28:0,,N/F,,N/F,,61831328,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-28:0,,N/F,,N/F,,61831328,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-36:4,,3.46,,779.5667725,,159944,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:4,,3.54,,796.5932007,,159944,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:4,,N/F,,N/F,,159944,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-34:7,,3.61,,743.4716797,,1685,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-34:7,,N/F,,N/F,,1685,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-34:7,,N/F,,N/F,,1685,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-36:2,,3.56,,800.625061,,419257,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:2,,N/F,,N/F,,419257,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-36:2,,N/F,,N/F,,419257,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-37:3,,3.55,,814.6399536,,11244,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-37:3,,N/F,,N/F,,11244,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-37:3,,N/F,,N/F,,11244,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-33:0,,3.7,,760.5942383,,47002,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-33:0,,N/F,,N/F,,47002,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-33:0,,N/F,,N/F,,47002,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-32:0,,3.71,,751.5333862,,1430,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-32:0,,N/F,,N/F,,1430,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-32:0,,N/F,,N/F,,1430,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-30:2,,3.74,,699.5067749,,1766,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-30:2,,N/F,,N/F,,1766,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-30:2,,N/F,,N/F,,1766,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-30:3,,3.8,,697.4916382,,5858,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-30:3,,N/F,,N/F,,5858,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-30:3,,N/F,,N/F,,5858,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-30:0,,3.86,,720.5640259,,17749526,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-30:0,,3.86,,725.5195923,,17749526,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-30:0,,N/F,,N/F,,17749526,Linear,0.000, ,N/F,,N/F,,,,,3
Gly-dGly-DAG-13:2,,6.9,,607.296814,,1025,Linear,0.000, ,N/A,,N/A,,,,,1
Gly-dGly-DAG-13:2,,N/F,,N/F,,1025,Linear,0.000, ,N/F,,N/F,,,,,2
Gly-dGly-DAG-13:2,,N/F,,N/F,,1025,Linear,0.000, ,N/F,,N/F,,,,,3
Gly-dGly-DAG-15:2,,7.49,,635.3264771,,1200,Linear,0.000, ,N/A,,N/A,,,,,1
Gly-dGly-DAG-15:2,,N/F,,N/F,,1200,Linear,0.000, ,N/F,,N/F,,,,,2
