Compound,,RT,,Quan Peak,,Response,Curve Type,"Average RF/
Response Ratio",,"Injected
Conc",Units,"Calculated
Conc",Units,Flags,,Manual Flag,Peak Index
MGDG-19:2,,1.2,,549.3617554,,117437,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-19:2,,1.15,,566.3900757,,117437,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-19:2,,13.88,,571.345459,,117437,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-19:2,,1.2,,549.3617554,,117437,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
MGDG-19:2,,1.15,,566.3900757,,117437,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
MGDG-19:2,,13.88,,571.345459,,117437,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
MGDG-31:1,,3.37,,732.5596924,,27233292,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-31:1,,9.95,,737.5161133,,27233292,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-31:1,,20.31,,715.5354614,,27233292,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
MGDG-31:1,,3.37,,732.5596924,,27233292,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
MGDG-31:1,,9.95,,737.5161133,,27233292,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
MGDG-31:1,,20.31,,715.5354614,,27233292,Linear,0.000, ,N/A,ng,N/A,ng,,,,7
MGDG-31:1,,3.37,,732.5596924,,27233292,Linear,0.000, ,N/A,ng,N/A,ng,,,,8
MGDG-31:1,,9.95,,737.5161133,,27233292,Linear,0.000, ,N/A,ng,N/A,ng,,,,9
MGDG-31:1,,20.31,,715.5354614,,27233292,Linear,0.000, ,N/A,ng,N/A,ng,,,,10
MGDG-31:1,,3.37,,732.5596924,,27233292,Linear,0.000, ,N/A,ng,N/A,ng,,,,11
MGDG-31:1,,9.95,,737.5161133,,27233292,Linear,0.000, ,N/A,ng,N/A,ng,,,,12
MGDG-31:1,,20.31,,715.5354614,,27233292,Linear,0.000, ,N/A,ng,N/A,ng,,,,13
MGDG-31:1,,3.37,,732.5596924,,27233292,Linear,0.000, ,N/A,ng,N/A,ng,,,,14
MGDG-31:1,,9.95,,737.5161133,,27233292,Linear,0.000, ,N/A,ng,N/A,ng,,,,15
MGDG-31:1,,N/F,,N/F,,27233292,Linear,0.000, ,N/F,ng,N/F,ng,,,,1
MGDG-34:5,,4.44,,747.5053711,,1761983,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-34:5,,3.29,,764.5316162,,1761983,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-34:5,,3.36,,769.482605,,1761983,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-34:5,,4.44,,747.5053711,,1761983,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
MGDG-34:5,,3.29,,764.5316162,,1761983,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
MGDG-34:5,,3.36,,769.482605,,1761983,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
MGDG-34:5,,4.44,,747.5053711,,1761983,Linear,0.000, ,N/A,ng,N/A,ng,,,,7
MGDG-34:5,,3.29,,764.5316162,,1761983,Linear,0.000, ,N/A,ng,N/A,ng,,,,8
MGDG-34:5,,3.36,,769.482605,,1761983,Linear,0.000, ,N/A,ng,N/A,ng,,,,9
MGDG-41:3,,23.16,,853.6722412,,117318,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-41:3,,0.93,,870.6989746,,117318,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-41:3,,1.3,,875.654541,,117318,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
PE-DEG-25:4,,1.08,,558.3894043,,42249,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
PE-DEG-25:4,,6.7,,575.4177246,,42249,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
PE-DEG-25:4,,5.4,,580.3709717,,42249,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
PE-DEG-25:4,,1.08,,558.3894043,,42249,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
PE-DEG-25:4,,6.7,,575.4177246,,42249,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
PE-DEG-25:4,,5.4,,580.3709717,,42249,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
PE-DEG-25:4,,1.08,,558.3894043,,42249,Linear,0.000, ,N/A,ng,N/A,ng,,,,7
PE-DEG-25:4,,6.7,,575.4177246,,42249,Linear,0.000, ,N/A,ng,N/A,ng,,,,8
PE-DEG-25:4,,5.4,,580.3709717,,42249,Linear,0.000, ,N/A,ng,N/A,ng,,,,9
PE-DEG-27:4,,2.47,,586.4207764,,428010,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
PE-DEG-27:4,,6.64,,603.449707,,428010,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
PE-DEG-27:4,,4.87,,608.4020996,,428010,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-32:1,,3.31,,744.5636597,,1925738,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-32:1,,7.74,,727.5336914,,1925738,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-32:1,,11.13,,749.5161743,,1925738,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-37:3,,0.92,,814.637085,,1424147,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-37:3,,10.91,,819.5924072,,1424147,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-37:3,,14.09,,797.6119385,,1424147,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-27:2,,1.2,,676.5022583,,66437,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-27:2,,11.38,,681.453186,,66437,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-27:2,,7.67,,659.4759521,,66437,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-36:0,,4.53,,809.6130981,,6007621,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-36:0,,4.53,,809.6130981,,6007621,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
