Compound,,RT,,Quan Peak,,Response,Curve Type,"Average RF/
Response Ratio",,"Injected
Conc",Units,"Calculated
Conc",Units,Flags,,Manual Flag,Peak Index
MGDG-19:2,,1.22,,549.3616333,,284744,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-19:2,,1.13,,566.3916016,,284744,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-19:2,,1.12,,571.3443604,,284744,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-19:2,,1.22,,549.3616333,,284744,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
MGDG-19:2,,1.13,,566.3916016,,284744,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
MGDG-19:2,,1.12,,571.3443604,,284744,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
MGDG-31:1,,3.43,,715.5331421,,1002033,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-31:1,,1.09,,732.564209,,1002033,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-31:1,,7.86,,737.5144653,,1002033,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-31:1,,1.13,,715.5325317,,1002033,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
MGDG-31:1,,1.09,,732.564209,,1002033,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
MGDG-31:1,,7.86,,737.5144653,,1002033,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
MGDG-31:1,,1.13,,715.5325317,,1002033,Linear,0.000, ,N/A,ng,N/A,ng,,,,7
MGDG-31:1,,1.09,,732.564209,,1002033,Linear,0.000, ,N/A,ng,N/A,ng,,,,8
MGDG-31:1,,7.86,,737.5144653,,1002033,Linear,0.000, ,N/A,ng,N/A,ng,,,,9
MGDG-31:1,,1.13,,715.5325317,,1002033,Linear,0.000, ,N/A,ng,N/A,ng,,,,10
MGDG-31:1,,1.09,,732.564209,,1002033,Linear,0.000, ,N/A,ng,N/A,ng,,,,11
MGDG-31:1,,7.86,,737.5144653,,1002033,Linear,0.000, ,N/A,ng,N/A,ng,,,,12
MGDG-31:1,,1.13,,715.5325317,,1002033,Linear,0.000, ,N/A,ng,N/A,ng,,,,13
MGDG-31:1,,1.09,,732.564209,,1002033,Linear,0.000, ,N/A,ng,N/A,ng,,,,14
MGDG-31:1,,7.86,,737.5144653,,1002033,Linear,0.000, ,N/A,ng,N/A,ng,,,,15
MGDG-34:5,,4.02,,747.507019,,692255,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-34:5,,7.38,,764.5299683,,692255,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-34:5,,28.88,,769.4841919,,692255,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-34:5,,4.02,,747.507019,,692255,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
MGDG-34:5,,7.38,,764.5299683,,692255,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
MGDG-34:5,,28.88,,769.4841919,,692255,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
MGDG-34:5,,4.02,,747.507019,,692255,Linear,0.000, ,N/A,ng,N/A,ng,,,,7
MGDG-34:5,,7.38,,764.5299683,,692255,Linear,0.000, ,N/A,ng,N/A,ng,,,,8
MGDG-34:5,,28.88,,769.4841919,,692255,Linear,0.000, ,N/A,ng,N/A,ng,,,,9
MGDG-41:3,,22.81,,853.6731567,,304046,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-41:3,,0.91,,870.7003784,,304046,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-41:3,,1.14,,875.6605225,,304046,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
PE-DEG-25:4,,6.8,,558.3945313,,55708,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
PE-DEG-25:4,,28.44,,575.4170532,,55708,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
PE-DEG-25:4,,1.5,,580.3731079,,55708,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
PE-DEG-25:4,,6.8,,558.3945313,,55708,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
PE-DEG-25:4,,28.44,,575.4170532,,55708,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
PE-DEG-25:4,,1.5,,580.3731079,,55708,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
PE-DEG-25:4,,6.8,,558.3945313,,55708,Linear,0.000, ,N/A,ng,N/A,ng,,,,7
PE-DEG-25:4,,28.44,,575.4170532,,55708,Linear,0.000, ,N/A,ng,N/A,ng,,,,8
PE-DEG-25:4,,1.5,,580.3731079,,55708,Linear,0.000, ,N/A,ng,N/A,ng,,,,9
PE-DEG-27:4,,2.61,,586.4202881,,67002,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
PE-DEG-27:4,,6.65,,603.449585,,67002,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
PE-DEG-27:4,,6.86,,608.4077759,,67002,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-32:1,,0.92,,744.5604858,,1951449,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-32:1,,10.06,,727.5319214,,1951449,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-32:1,,5.78,,749.5200195,,1951449,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
