Compound,,RT,,Quan Peak,,Response,Curve Type,"Average RF/
Response Ratio",,"Injected
Conc",Units,"Calculated
Conc",Units,Flags,,Manual Flag,Peak Index
MGDG-19:2,,7.29,,549.364563,,45990,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-19:2,,7.33,,566.3913574,,45990,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-19:2,,7.62,,571.3477783,,45990,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-19:2,,7.29,,549.364563,,45990,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
MGDG-19:2,,7.33,,566.3913574,,45990,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
MGDG-19:2,,7.62,,571.3477783,,45990,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
MGDG-31:1,,1.03,,732.5618286,,233658,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-31:1,,0.98,,737.5147095,,233658,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-31:1,,7.79,,715.5387573,,233658,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
MGDG-31:1,,1.03,,732.5618286,,233658,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
MGDG-31:1,,0.98,,737.5147095,,233658,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
MGDG-31:1,,7.79,,715.5387573,,233658,Linear,0.000, ,N/A,ng,N/A,ng,,,,7
MGDG-31:1,,1.03,,732.5618286,,233658,Linear,0.000, ,N/A,ng,N/A,ng,,,,8
MGDG-31:1,,0.98,,737.5147095,,233658,Linear,0.000, ,N/A,ng,N/A,ng,,,,9
MGDG-31:1,,7.79,,715.5387573,,233658,Linear,0.000, ,N/A,ng,N/A,ng,,,,10
MGDG-31:1,,1.03,,732.5618286,,233658,Linear,0.000, ,N/A,ng,N/A,ng,,,,11
MGDG-31:1,,0.98,,737.5147095,,233658,Linear,0.000, ,N/A,ng,N/A,ng,,,,12
MGDG-31:1,,7.79,,715.5387573,,233658,Linear,0.000, ,N/A,ng,N/A,ng,,,,13
MGDG-31:1,,1.03,,732.5618286,,233658,Linear,0.000, ,N/A,ng,N/A,ng,,,,14
MGDG-31:1,,0.98,,737.5147095,,233658,Linear,0.000, ,N/A,ng,N/A,ng,,,,15
MGDG-31:1,,N/F,,N/F,,233658,Linear,0.000, ,N/F,ng,N/F,ng,,,,1
MGDG-34:5,,1.2,,747.5060425,,71401,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-34:5,,1.05,,764.5274658,,71401,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-34:5,,18.01,,769.4866333,,71401,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-34:5,,1.2,,747.5060425,,71401,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
MGDG-34:5,,1.05,,764.5274658,,71401,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
MGDG-34:5,,18.01,,769.4866333,,71401,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
MGDG-34:5,,1.2,,747.5060425,,71401,Linear,0.000, ,N/A,ng,N/A,ng,,,,7
MGDG-34:5,,1.05,,764.5274658,,71401,Linear,0.000, ,N/A,ng,N/A,ng,,,,8
MGDG-34:5,,18.01,,769.4866333,,71401,Linear,0.000, ,N/A,ng,N/A,ng,,,,9
MGDG-41:3,,33.93,,853.6775513,,51353,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-41:3,,1.12,,870.7034912,,51353,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-41:3,,1.24,,875.6546021,,51353,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
PE-DEG-25:4,,6.76,,558.394165,,40349,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
PE-DEG-25:4,,1.2,,575.4185181,,40349,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
PE-DEG-25:4,,1.49,,580.3717041,,40349,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
PE-DEG-25:4,,6.76,,558.394165,,40349,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
PE-DEG-25:4,,1.2,,575.4185181,,40349,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
PE-DEG-25:4,,1.49,,580.3717041,,40349,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
PE-DEG-25:4,,6.76,,558.394165,,40349,Linear,0.000, ,N/A,ng,N/A,ng,,,,7
PE-DEG-25:4,,1.2,,575.4185181,,40349,Linear,0.000, ,N/A,ng,N/A,ng,,,,8
PE-DEG-25:4,,1.49,,580.3717041,,40349,Linear,0.000, ,N/A,ng,N/A,ng,,,,9
PE-DEG-27:4,,6.35,,586.425354,,25717,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
PE-DEG-27:4,,4.22,,603.4489746,,25717,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
PE-DEG-27:4,,4.95,,608.4025879,,25717,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-32:1,,0.95,,744.5586548,,308129,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
